# source: moe_perf/raw/EXP-014/d1_{moe_tp2ep,dense_tp2}_c*_bench.json · generated by moe_perf/d1_analyze.py · 2026-08-24
model,conc,output_tok_s,tpot_p50_ms,ttft_p50_ms,req_s
moe_tp2ep,1,221.48785879849774,4.400358829355123,30.73698200751096,0.8651869484316318
moe_tp2ep,2,356.834736160066,5.437181468633022,46.453443996142596,1.3938856881252577
moe_tp2ep,4,537.6457371482104,7.207952109713327,63.214530993718654,2.100178660735197
moe_tp2ep,8,725.7133989277911,9.932458558914197,78.64421198610216,2.834817964561684
moe_tp2ep,16,1073.2686304549711,13.89584086285265,142.23752351244912,4.192455587714731
moe_tp2ep,32,1690.8530984198726,18.329765662715275,175.66453950712457,6.604894915702627
moe_tp2ep,64,2574.804585255179,23.778243319647313,270.73582698358223,10.057830411153043
moe_tp2ep,128,3974.518526864889,30.628469003839236,398.30685447668657,15.525462995565972
dense_tp2,1,109.25695431734282,9.064381196067723,27.621034008916467,0.4267849778021204
dense_tp2,2,206.0158173544554,9.579946752980023,42.27123048622161,0.8047492865408414
dense_tp2,4,398.2247064017931,9.782022970623574,70.4610759858042,1.5555652593820044
dense_tp2,8,748.4848972438307,10.259267341176633,115.09324496728368,2.9237691298587136
dense_tp2,16,1315.0292671657623,11.342048154933854,205.21302049746737,5.136833074866259
dense_tp2,32,2094.1161214656454,14.06041172746222,302.4565439845901,8.180141099475177
dense_tp2,64,3471.561023215331,16.464752097974767,486.6850569960661,13.560785246934886
dense_tp2,128,4826.978690917629,23.385120960815318,771.2669499742333,18.85538551139699
