# provenance: env=sys sha=717b683182 cmd="nvidia-smi ... -lms 500" date=2026-09-15T02:37:36+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=debug_full
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:37:36.137, 1, 16, 210 MHz
1, 2026/09/15 02:37:36.142, 1, 16, 210 MHz
0, 2026/09/15 02:37:36.646, 1, 16, 210 MHz
1, 2026/09/15 02:37:36.646, 1, 16, 210 MHz
0, 2026/09/15 02:37:37.146, 1, 16, 210 MHz
1, 2026/09/15 02:37:37.146, 1, 16, 210 MHz
0, 2026/09/15 02:37:37.647, 4, 16, 2520 MHz
1, 2026/09/15 02:37:37.647, 4, 16, 210 MHz
0, 2026/09/15 02:37:38.147, 4, 16, 2520 MHz
1, 2026/09/15 02:37:38.147, 4, 16, 2520 MHz
0, 2026/09/15 02:37:38.647, 4, 16, 2805 MHz
1, 2026/09/15 02:37:38.648, 4, 16, 2790 MHz
0, 2026/09/15 02:37:39.148, 4, 16, 2805 MHz
1, 2026/09/15 02:37:39.148, 4, 16, 2790 MHz
0, 2026/09/15 02:37:39.648, 4, 16, 2805 MHz
1, 2026/09/15 02:37:39.648, 4, 16, 2790 MHz
0, 2026/09/15 02:37:40.148, 4, 16, 2805 MHz
1, 2026/09/15 02:37:40.149, 4, 16, 2790 MHz
0, 2026/09/15 02:37:40.649, 4, 16, 2805 MHz
1, 2026/09/15 02:37:40.649, 4, 16, 2790 MHz
0, 2026/09/15 02:37:41.149, 4, 16, 2805 MHz
1, 2026/09/15 02:37:41.149, 4, 16, 2790 MHz
0, 2026/09/15 02:37:41.649, 4, 16, 2805 MHz
1, 2026/09/15 02:37:41.650, 4, 16, 2790 MHz
0, 2026/09/15 02:37:42.150, 4, 16, 2805 MHz
1, 2026/09/15 02:37:42.150, 4, 16, 2790 MHz
0, 2026/09/15 02:37:42.650, 4, 16, 2805 MHz
1, 2026/09/15 02:37:42.650, 4, 16, 2790 MHz
0, 2026/09/15 02:37:43.150, 4, 16, 2805 MHz
1, 2026/09/15 02:37:43.151, 4, 16, 2790 MHz
0, 2026/09/15 02:37:43.651, 4, 16, 2805 MHz
1, 2026/09/15 02:37:43.651, 4, 16, 2790 MHz
0, 2026/09/15 02:37:44.151, 4, 16, 2805 MHz
1, 2026/09/15 02:37:44.151, 4, 16, 2790 MHz
0, 2026/09/15 02:37:44.651, 4, 16, 2805 MHz
1, 2026/09/15 02:37:44.652, 4, 16, 2790 MHz
0, 2026/09/15 02:37:45.152, 4, 16, 2805 MHz
1, 2026/09/15 02:37:45.152, 4, 16, 2790 MHz
0, 2026/09/15 02:37:45.652, 4, 16, 2805 MHz
1, 2026/09/15 02:37:45.652, 4, 16, 2790 MHz
