# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:42:44+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=extra_algoTree knobs="NCCL_SHM_DISABLE=0 NCCL_ALGO=Tree"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:42:44.160, 2, 16, 2835 MHz
1, 2026/09/15 02:42:44.166, 4, 16, 2820 MHz
0, 2026/09/15 02:42:44.669, 2, 16, 2835 MHz
1, 2026/09/15 02:42:44.669, 2, 16, 2820 MHz
0, 2026/09/15 02:42:45.169, 2, 16, 645 MHz
1, 2026/09/15 02:42:45.190, 2, 16, 720 MHz
0, 2026/09/15 02:42:45.690, 4, 16, 2520 MHz
1, 2026/09/15 02:42:45.691, 4, 16, 2520 MHz
0, 2026/09/15 02:42:46.191, 4, 16, 2520 MHz
1, 2026/09/15 02:42:46.191, 4, 16, 2520 MHz
0, 2026/09/15 02:42:46.691, 4, 16, 2835 MHz
1, 2026/09/15 02:42:46.691, 4, 16, 2820 MHz
0, 2026/09/15 02:42:47.192, 4, 16, 2835 MHz
1, 2026/09/15 02:42:47.192, 4, 16, 2820 MHz
0, 2026/09/15 02:42:47.692, 4, 16, 2835 MHz
1, 2026/09/15 02:42:47.692, 4, 16, 2820 MHz
0, 2026/09/15 02:42:48.192, 4, 16, 2835 MHz
1, 2026/09/15 02:42:48.193, 4, 16, 2820 MHz
0, 2026/09/15 02:42:48.693, 4, 16, 2835 MHz
1, 2026/09/15 02:42:48.693, 4, 16, 2820 MHz
0, 2026/09/15 02:42:49.193, 4, 16, 2835 MHz
1, 2026/09/15 02:42:49.194, 4, 16, 2820 MHz
0, 2026/09/15 02:42:49.694, 4, 16, 2835 MHz
1, 2026/09/15 02:42:49.694, 4, 16, 2820 MHz
0, 2026/09/15 02:42:50.194, 4, 16, 2835 MHz
1, 2026/09/15 02:42:50.194, 4, 16, 2820 MHz
0, 2026/09/15 02:42:50.694, 4, 16, 2835 MHz
1, 2026/09/15 02:42:50.694, 4, 16, 2820 MHz
0, 2026/09/15 02:42:51.195, 4, 16, 2835 MHz
1, 2026/09/15 02:42:51.195, 4, 16, 2820 MHz
0, 2026/09/15 02:42:51.695, 4, 16, 2835 MHz
1, 2026/09/15 02:42:51.695, 4, 16, 2820 MHz
0, 2026/09/15 02:42:52.195, 4, 16, 2835 MHz
1, 2026/09/15 02:42:52.195, 4, 16, 2820 MHz
0, 2026/09/15 02:42:52.696, 4, 16, 2835 MHz
1, 2026/09/15 02:42:52.696, 4, 16, 2820 MHz
0, 2026/09/15 02:42:53.196, 4, 16, 2835 MHz
1, 2026/09/15 02:42:53.197, 4, 16, 2820 MHz
0, 2026/09/15 02:42:53.697, 4, 16, 2835 MHz
1, 2026/09/15 02:42:53.697, 4, 16, 2820 MHz
