# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:42:21+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=extra_nchan1 knobs="NCCL_SHM_DISABLE=0 NCCL_MAX_NCHANNELS=1"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:42:21.729, 4, 16, 2835 MHz
1, 2026/09/15 02:42:21.734, 4, 16, 2820 MHz
0, 2026/09/15 02:42:22.237, 2, 16, 2835 MHz
1, 2026/09/15 02:42:22.237, 2, 16, 2820 MHz
0, 2026/09/15 02:42:22.737, 2, 16, 645 MHz
1, 2026/09/15 02:42:22.758, 2, 16, 600 MHz
0, 2026/09/15 02:42:23.258, 4, 16, 2520 MHz
1, 2026/09/15 02:42:23.258, 1, 16, 420 MHz
0, 2026/09/15 02:42:23.759, 4, 16, 2520 MHz
1, 2026/09/15 02:42:23.759, 4, 16, 2520 MHz
0, 2026/09/15 02:42:24.259, 4, 16, 2835 MHz
1, 2026/09/15 02:42:24.259, 4, 16, 2820 MHz
0, 2026/09/15 02:42:24.760, 4, 16, 2835 MHz
1, 2026/09/15 02:42:24.760, 4, 16, 2820 MHz
0, 2026/09/15 02:42:25.260, 4, 16, 2835 MHz
1, 2026/09/15 02:42:25.260, 4, 16, 2820 MHz
0, 2026/09/15 02:42:25.760, 4, 16, 2835 MHz
1, 2026/09/15 02:42:25.760, 4, 16, 2820 MHz
0, 2026/09/15 02:42:26.261, 4, 16, 2835 MHz
1, 2026/09/15 02:42:26.261, 4, 16, 2820 MHz
0, 2026/09/15 02:42:26.761, 4, 16, 2835 MHz
1, 2026/09/15 02:42:26.761, 4, 16, 2820 MHz
0, 2026/09/15 02:42:27.262, 4, 16, 2835 MHz
1, 2026/09/15 02:42:27.262, 4, 16, 2820 MHz
0, 2026/09/15 02:42:27.762, 4, 16, 2835 MHz
1, 2026/09/15 02:42:27.762, 4, 16, 2820 MHz
0, 2026/09/15 02:42:28.262, 4, 16, 2835 MHz
1, 2026/09/15 02:42:28.263, 4, 16, 2820 MHz
0, 2026/09/15 02:42:28.763, 4, 16, 2835 MHz
1, 2026/09/15 02:42:28.763, 4, 16, 2820 MHz
0, 2026/09/15 02:42:29.264, 4, 16, 2835 MHz
1, 2026/09/15 02:42:29.264, 4, 16, 2820 MHz
0, 2026/09/15 02:42:29.764, 4, 16, 2835 MHz
1, 2026/09/15 02:42:29.764, 4, 16, 2820 MHz
0, 2026/09/15 02:42:30.265, 4, 16, 2835 MHz
1, 2026/09/15 02:42:30.265, 4, 16, 2820 MHz
0, 2026/09/15 02:42:30.765, 4, 16, 2835 MHz
1, 2026/09/15 02:42:30.765, 4, 16, 2820 MHz
0, 2026/09/15 02:42:31.265, 4, 16, 2835 MHz
1, 2026/09/15 02:42:31.266, 4, 16, 2820 MHz
0, 2026/09/15 02:42:31.766, 4, 16, 2835 MHz
1, 2026/09/15 02:42:31.816, 4, 16, 2820 MHz
0, 2026/09/15 02:42:32.320, 4, 16, 2835 MHz
1, 2026/09/15 02:42:32.320, 4, 16, 2820 MHz
0, 2026/09/15 02:42:32.820, 4, 16, 2835 MHz
1, 2026/09/15 02:42:32.820, 4, 16, 2820 MHz
