# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:42:33+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=extra_shmcudamemcpy1 knobs="NCCL_SHM_DISABLE=0 NCCL_SHM_USE_CUDA_MEMCPY=1"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:42:33.474, 4, 16, 2835 MHz
1, 2026/09/15 02:42:33.479, 2, 16, 2820 MHz
0, 2026/09/15 02:42:33.983, 2, 16, 2835 MHz
1, 2026/09/15 02:42:33.983, 2, 16, 570 MHz
0, 2026/09/15 02:42:34.483, 2, 16, 570 MHz
1, 2026/09/15 02:42:34.483, 2, 16, 570 MHz
0, 2026/09/15 02:42:34.983, 2, 16, 390 MHz
1, 2026/09/15 02:42:34.983, 4, 16, 2520 MHz
0, 2026/09/15 02:42:35.484, 4, 16, 2520 MHz
1, 2026/09/15 02:42:35.484, 4, 16, 2520 MHz
0, 2026/09/15 02:42:35.984, 4, 16, 2520 MHz
1, 2026/09/15 02:42:35.984, 4, 16, 2820 MHz
0, 2026/09/15 02:42:36.484, 4, 16, 2835 MHz
1, 2026/09/15 02:42:36.485, 4, 16, 2820 MHz
0, 2026/09/15 02:42:36.985, 4, 16, 2835 MHz
1, 2026/09/15 02:42:36.985, 4, 16, 2820 MHz
0, 2026/09/15 02:42:37.485, 4, 16, 2835 MHz
1, 2026/09/15 02:42:37.485, 4, 16, 2820 MHz
0, 2026/09/15 02:42:37.985, 4, 16, 2835 MHz
1, 2026/09/15 02:42:37.986, 4, 16, 2820 MHz
0, 2026/09/15 02:42:38.486, 4, 16, 2835 MHz
1, 2026/09/15 02:42:38.486, 4, 16, 2820 MHz
0, 2026/09/15 02:42:38.986, 4, 16, 2835 MHz
1, 2026/09/15 02:42:38.986, 4, 16, 2820 MHz
0, 2026/09/15 02:42:39.486, 4, 16, 2835 MHz
1, 2026/09/15 02:42:39.487, 4, 16, 2820 MHz
0, 2026/09/15 02:42:39.987, 4, 16, 2835 MHz
1, 2026/09/15 02:42:39.987, 4, 16, 2820 MHz
0, 2026/09/15 02:42:40.487, 4, 16, 2835 MHz
1, 2026/09/15 02:42:40.487, 4, 16, 2820 MHz
0, 2026/09/15 02:42:40.987, 4, 16, 2835 MHz
1, 2026/09/15 02:42:40.988, 4, 16, 2820 MHz
0, 2026/09/15 02:42:41.488, 4, 16, 2835 MHz
1, 2026/09/15 02:42:41.488, 4, 16, 2820 MHz
0, 2026/09/15 02:42:41.988, 4, 16, 2835 MHz
1, 2026/09/15 02:42:41.989, 4, 16, 2820 MHz
0, 2026/09/15 02:42:42.489, 4, 16, 2835 MHz
1, 2026/09/15 02:42:42.489, 4, 16, 2820 MHz
0, 2026/09/15 02:42:42.989, 4, 16, 2835 MHz
1, 2026/09/15 02:42:42.989, 4, 16, 2820 MHz
0, 2026/09/15 02:42:43.490, 4, 16, 2835 MHz
1, 2026/09/15 02:42:43.490, 4, 16, 2820 MHz
