# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:42:06+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm0_p2pDEF_protoLL128 knobs="NCCL_SHM_DISABLE=0 NCCL_PROTO=LL128"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:42:06.521, 4, 16, 2835 MHz
1, 2026/09/15 02:42:06.526, 2, 16, 2820 MHz
0, 2026/09/15 02:42:07.029, 2, 16, 2835 MHz
1, 2026/09/15 02:42:07.029, 2, 16, 2820 MHz
0, 2026/09/15 02:42:07.530, 2, 16, 690 MHz
1, 2026/09/15 02:42:07.530, 2, 16, 690 MHz
0, 2026/09/15 02:42:08.053, 4, 16, 2520 MHz
1, 2026/09/15 02:42:08.053, 4, 16, 2520 MHz
0, 2026/09/15 02:42:08.553, 4, 16, 2520 MHz
1, 2026/09/15 02:42:08.554, 4, 16, 2520 MHz
0, 2026/09/15 02:42:09.054, 4, 16, 2835 MHz
1, 2026/09/15 02:42:09.054, 4, 16, 2820 MHz
0, 2026/09/15 02:42:09.554, 4, 16, 2835 MHz
1, 2026/09/15 02:42:09.554, 4, 16, 2820 MHz
0, 2026/09/15 02:42:10.055, 4, 16, 2835 MHz
1, 2026/09/15 02:42:10.055, 4, 16, 2820 MHz
0, 2026/09/15 02:42:10.555, 4, 16, 2835 MHz
1, 2026/09/15 02:42:10.555, 4, 16, 2820 MHz
0, 2026/09/15 02:42:11.055, 4, 16, 2835 MHz
1, 2026/09/15 02:42:11.055, 4, 16, 2820 MHz
0, 2026/09/15 02:42:11.556, 4, 16, 2835 MHz
1, 2026/09/15 02:42:11.556, 4, 16, 2820 MHz
0, 2026/09/15 02:42:12.056, 4, 16, 2835 MHz
1, 2026/09/15 02:42:12.056, 4, 16, 2820 MHz
0, 2026/09/15 02:42:12.556, 4, 16, 2835 MHz
1, 2026/09/15 02:42:12.556, 4, 16, 2820 MHz
0, 2026/09/15 02:42:13.057, 4, 16, 2835 MHz
1, 2026/09/15 02:42:13.057, 4, 16, 2820 MHz
0, 2026/09/15 02:42:13.557, 4, 16, 2835 MHz
1, 2026/09/15 02:42:13.557, 4, 16, 2820 MHz
0, 2026/09/15 02:42:14.058, 4, 16, 2835 MHz
1, 2026/09/15 02:42:14.058, 4, 16, 2820 MHz
0, 2026/09/15 02:42:14.558, 4, 16, 2835 MHz
1, 2026/09/15 02:42:14.558, 4, 16, 2820 MHz
0, 2026/09/15 02:42:15.059, 4, 16, 2835 MHz
1, 2026/09/15 02:42:15.059, 4, 16, 2820 MHz
0, 2026/09/15 02:42:15.559, 4, 16, 2835 MHz
1, 2026/09/15 02:42:15.559, 4, 16, 2820 MHz
0, 2026/09/15 02:42:16.060, 4, 16, 2835 MHz
1, 2026/09/15 02:42:16.060, 4, 16, 2820 MHz
0, 2026/09/15 02:42:16.560, 4, 16, 2835 MHz
1, 2026/09/15 02:42:16.560, 4, 16, 2820 MHz
0, 2026/09/15 02:42:17.061, 4, 16, 2835 MHz
1, 2026/09/15 02:42:17.061, 4, 16, 2820 MHz
0, 2026/09/15 02:42:17.561, 4, 16, 2835 MHz
1, 2026/09/15 02:42:17.561, 4, 16, 2820 MHz
0, 2026/09/15 02:42:18.061, 4, 16, 2835 MHz
1, 2026/09/15 02:42:18.061, 4, 16, 2820 MHz
0, 2026/09/15 02:42:18.562, 4, 16, 2835 MHz
1, 2026/09/15 02:42:18.562, 4, 16, 2820 MHz
0, 2026/09/15 02:42:19.062, 4, 16, 2835 MHz
1, 2026/09/15 02:42:19.062, 4, 16, 2820 MHz
0, 2026/09/15 02:42:19.562, 4, 16, 2835 MHz
1, 2026/09/15 02:42:19.562, 4, 16, 2820 MHz
0, 2026/09/15 02:42:20.063, 4, 16, 2835 MHz
1, 2026/09/15 02:42:20.063, 4, 16, 2820 MHz
0, 2026/09/15 02:42:20.563, 4, 16, 2835 MHz
1, 2026/09/15 02:42:20.563, 4, 16, 2820 MHz
0, 2026/09/15 02:42:21.063, 4, 16, 2835 MHz
1, 2026/09/15 02:42:21.064, 4, 16, 2820 MHz
