# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:41:45+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm0_p2pDEF_protoLL knobs="NCCL_SHM_DISABLE=0 NCCL_PROTO=LL"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:41:45.327, 2, 16, 2835 MHz
1, 2026/09/15 02:41:45.335, 4, 16, 2820 MHz
0, 2026/09/15 02:41:45.839, 2, 16, 2835 MHz
1, 2026/09/15 02:41:45.839, 2, 16, 2820 MHz
0, 2026/09/15 02:41:46.339, 2, 16, 630 MHz
1, 2026/09/15 02:41:46.340, 2, 16, 675 MHz
0, 2026/09/15 02:41:46.840, 4, 16, 2520 MHz
1, 2026/09/15 02:41:46.840, 2, 16, 510 MHz
0, 2026/09/15 02:41:47.340, 4, 16, 2520 MHz
1, 2026/09/15 02:41:47.341, 4, 16, 2520 MHz
0, 2026/09/15 02:41:47.841, 4, 16, 2835 MHz
1, 2026/09/15 02:41:47.841, 4, 16, 2520 MHz
0, 2026/09/15 02:41:48.341, 4, 16, 2835 MHz
1, 2026/09/15 02:41:48.341, 4, 16, 2820 MHz
0, 2026/09/15 02:41:48.842, 4, 16, 2835 MHz
1, 2026/09/15 02:41:48.842, 4, 16, 2820 MHz
0, 2026/09/15 02:41:49.342, 4, 16, 2835 MHz
1, 2026/09/15 02:41:49.342, 4, 16, 2820 MHz
0, 2026/09/15 02:41:49.842, 4, 16, 2835 MHz
1, 2026/09/15 02:41:49.842, 4, 16, 2820 MHz
0, 2026/09/15 02:41:50.343, 4, 16, 2835 MHz
1, 2026/09/15 02:41:50.343, 4, 16, 2820 MHz
0, 2026/09/15 02:41:50.843, 4, 16, 2835 MHz
1, 2026/09/15 02:41:50.843, 4, 16, 2820 MHz
0, 2026/09/15 02:41:51.343, 4, 16, 2835 MHz
1, 2026/09/15 02:41:51.344, 4, 16, 2820 MHz
0, 2026/09/15 02:41:51.844, 4, 16, 2835 MHz
1, 2026/09/15 02:41:51.844, 4, 16, 2820 MHz
0, 2026/09/15 02:41:52.344, 4, 16, 2835 MHz
1, 2026/09/15 02:41:52.344, 4, 16, 2820 MHz
0, 2026/09/15 02:41:52.845, 4, 16, 2835 MHz
1, 2026/09/15 02:41:52.845, 4, 16, 2820 MHz
0, 2026/09/15 02:41:53.345, 4, 16, 2835 MHz
1, 2026/09/15 02:41:53.345, 4, 16, 2820 MHz
0, 2026/09/15 02:41:53.845, 4, 16, 2835 MHz
1, 2026/09/15 02:41:53.845, 4, 16, 2820 MHz
0, 2026/09/15 02:41:54.345, 4, 16, 2835 MHz
1, 2026/09/15 02:41:54.346, 4, 16, 2820 MHz
0, 2026/09/15 02:41:54.846, 4, 16, 2835 MHz
1, 2026/09/15 02:41:54.846, 4, 16, 2820 MHz
0, 2026/09/15 02:41:55.346, 4, 16, 2835 MHz
1, 2026/09/15 02:41:55.346, 4, 16, 2820 MHz
0, 2026/09/15 02:41:55.846, 4, 16, 2835 MHz
1, 2026/09/15 02:41:55.847, 4, 16, 2820 MHz
0, 2026/09/15 02:41:56.347, 4, 16, 2835 MHz
1, 2026/09/15 02:41:56.347, 4, 16, 2820 MHz
0, 2026/09/15 02:41:56.847, 4, 16, 2835 MHz
1, 2026/09/15 02:41:56.847, 4, 16, 2820 MHz
0, 2026/09/15 02:41:57.347, 4, 16, 2835 MHz
1, 2026/09/15 02:41:57.348, 4, 16, 2820 MHz
0, 2026/09/15 02:41:57.848, 4, 16, 2835 MHz
1, 2026/09/15 02:41:57.848, 4, 16, 2820 MHz
0, 2026/09/15 02:41:58.348, 4, 16, 2835 MHz
1, 2026/09/15 02:41:58.348, 4, 16, 2820 MHz
0, 2026/09/15 02:41:58.849, 4, 16, 2835 MHz
1, 2026/09/15 02:41:58.849, 4, 16, 2820 MHz
0, 2026/09/15 02:41:59.349, 4, 16, 2835 MHz
1, 2026/09/15 02:41:59.349, 4, 16, 2820 MHz
0, 2026/09/15 02:41:59.849, 4, 16, 2835 MHz
1, 2026/09/15 02:41:59.849, 4, 16, 2820 MHz
0, 2026/09/15 02:42:00.349, 4, 16, 2835 MHz
1, 2026/09/15 02:42:00.350, 4, 16, 2820 MHz
0, 2026/09/15 02:42:00.850, 4, 16, 2835 MHz
1, 2026/09/15 02:42:00.850, 4, 16, 2820 MHz
0, 2026/09/15 02:42:01.350, 4, 16, 2835 MHz
1, 2026/09/15 02:42:01.351, 4, 16, 2820 MHz
0, 2026/09/15 02:42:01.851, 4, 16, 2835 MHz
1, 2026/09/15 02:42:01.851, 4, 16, 2820 MHz
0, 2026/09/15 02:42:02.351, 4, 16, 2835 MHz
1, 2026/09/15 02:42:02.351, 4, 16, 2820 MHz
0, 2026/09/15 02:42:02.851, 4, 16, 2835 MHz
1, 2026/09/15 02:42:02.852, 4, 16, 2820 MHz
0, 2026/09/15 02:42:03.352, 4, 16, 2835 MHz
1, 2026/09/15 02:42:03.352, 4, 16, 2820 MHz
0, 2026/09/15 02:42:03.852, 4, 16, 2835 MHz
1, 2026/09/15 02:42:03.852, 4, 16, 2820 MHz
0, 2026/09/15 02:42:04.353, 4, 16, 2835 MHz
1, 2026/09/15 02:42:04.353, 4, 16, 2820 MHz
0, 2026/09/15 02:42:04.853, 4, 16, 2835 MHz
1, 2026/09/15 02:42:04.853, 4, 16, 2820 MHz
0, 2026/09/15 02:42:05.353, 4, 16, 2835 MHz
1, 2026/09/15 02:42:05.354, 4, 16, 2820 MHz
0, 2026/09/15 02:42:05.854, 4, 16, 2835 MHz
1, 2026/09/15 02:42:05.854, 4, 16, 2820 MHz
