# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:41:32+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm0_p2pDEF_protoSimple knobs="NCCL_SHM_DISABLE=0 NCCL_PROTO=Simple"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:41:32.621, 2, 16, 2835 MHz
1, 2026/09/15 02:41:32.627, 4, 16, 2820 MHz
0, 2026/09/15 02:41:33.130, 2, 16, 705 MHz
1, 2026/09/15 02:41:33.130, 2, 16, 2820 MHz
0, 2026/09/15 02:41:33.630, 2, 16, 705 MHz
1, 2026/09/15 02:41:33.650, 2, 16, 570 MHz
0, 2026/09/15 02:41:34.150, 4, 16, 2520 MHz
1, 2026/09/15 02:41:34.150, 4, 16, 2520 MHz
0, 2026/09/15 02:41:34.651, 4, 16, 2520 MHz
1, 2026/09/15 02:41:34.651, 4, 16, 2520 MHz
0, 2026/09/15 02:41:35.151, 4, 16, 2835 MHz
1, 2026/09/15 02:41:35.151, 4, 16, 2820 MHz
0, 2026/09/15 02:41:35.651, 4, 16, 2835 MHz
1, 2026/09/15 02:41:35.651, 4, 16, 2820 MHz
0, 2026/09/15 02:41:36.152, 4, 16, 2835 MHz
1, 2026/09/15 02:41:36.152, 4, 16, 2820 MHz
0, 2026/09/15 02:41:36.652, 4, 16, 2835 MHz
1, 2026/09/15 02:41:36.652, 4, 16, 2820 MHz
0, 2026/09/15 02:41:37.152, 4, 16, 2835 MHz
1, 2026/09/15 02:41:37.153, 4, 16, 2820 MHz
0, 2026/09/15 02:41:37.653, 4, 16, 2835 MHz
1, 2026/09/15 02:41:37.653, 4, 16, 2820 MHz
0, 2026/09/15 02:41:38.153, 4, 16, 2835 MHz
1, 2026/09/15 02:41:38.153, 4, 16, 2820 MHz
0, 2026/09/15 02:41:38.653, 4, 16, 2835 MHz
1, 2026/09/15 02:41:38.654, 4, 16, 2820 MHz
0, 2026/09/15 02:41:39.154, 4, 16, 2835 MHz
1, 2026/09/15 02:41:39.154, 4, 16, 2820 MHz
0, 2026/09/15 02:41:39.654, 4, 16, 2835 MHz
1, 2026/09/15 02:41:39.655, 4, 16, 2820 MHz
0, 2026/09/15 02:41:40.155, 4, 16, 2835 MHz
1, 2026/09/15 02:41:40.155, 4, 16, 2820 MHz
0, 2026/09/15 02:41:40.655, 4, 16, 2835 MHz
1, 2026/09/15 02:41:40.655, 4, 16, 2820 MHz
0, 2026/09/15 02:41:41.156, 4, 16, 2835 MHz
1, 2026/09/15 02:41:41.156, 4, 16, 2820 MHz
0, 2026/09/15 02:41:41.656, 4, 16, 2835 MHz
1, 2026/09/15 02:41:41.656, 4, 16, 2820 MHz
0, 2026/09/15 02:41:42.156, 4, 16, 2835 MHz
1, 2026/09/15 02:41:42.157, 4, 16, 2820 MHz
0, 2026/09/15 02:41:42.657, 4, 16, 2835 MHz
1, 2026/09/15 02:41:42.657, 4, 16, 2820 MHz
0, 2026/09/15 02:41:43.157, 4, 16, 2835 MHz
1, 2026/09/15 02:41:43.158, 4, 16, 2820 MHz
0, 2026/09/15 02:41:43.658, 4, 16, 2835 MHz
1, 2026/09/15 02:41:43.658, 4, 16, 2820 MHz
0, 2026/09/15 02:41:44.158, 4, 16, 2835 MHz
1, 2026/09/15 02:41:44.159, 4, 16, 2820 MHz
0, 2026/09/15 02:41:44.659, 4, 16, 2835 MHz
1, 2026/09/15 02:41:44.659, 4, 16, 2820 MHz
