# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:38:40+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pDEF_protoDEF knobs="NCCL_SHM_DISABLE=1"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:38:40.889, 4, 16, 2520 MHz
1, 2026/09/15 02:38:40.895, 2, 16, 2520 MHz
0, 2026/09/15 02:38:41.398, 2, 16, 2520 MHz
1, 2026/09/15 02:38:41.398, 2, 16, 2520 MHz
0, 2026/09/15 02:38:41.898, 2, 16, 720 MHz
1, 2026/09/15 02:38:41.916, 2, 16, 660 MHz
0, 2026/09/15 02:38:42.417, 4, 16, 2520 MHz
1, 2026/09/15 02:38:42.417, 4, 16, 2520 MHz
0, 2026/09/15 02:38:42.917, 4, 16, 2520 MHz
1, 2026/09/15 02:38:42.917, 4, 16, 2520 MHz
0, 2026/09/15 02:38:43.418, 4, 16, 2835 MHz
1, 2026/09/15 02:38:43.418, 4, 16, 2790 MHz
0, 2026/09/15 02:38:43.918, 4, 16, 2835 MHz
1, 2026/09/15 02:38:43.918, 4, 16, 2790 MHz
0, 2026/09/15 02:38:44.419, 4, 16, 2835 MHz
1, 2026/09/15 02:38:44.419, 4, 16, 2790 MHz
0, 2026/09/15 02:38:44.919, 4, 16, 2835 MHz
1, 2026/09/15 02:38:44.920, 4, 16, 2790 MHz
0, 2026/09/15 02:38:45.420, 4, 16, 2835 MHz
1, 2026/09/15 02:38:45.420, 4, 16, 2790 MHz
0, 2026/09/15 02:38:45.920, 4, 16, 2835 MHz
1, 2026/09/15 02:38:45.921, 4, 16, 2790 MHz
0, 2026/09/15 02:38:46.421, 4, 16, 2835 MHz
1, 2026/09/15 02:38:46.421, 4, 16, 2790 MHz
0, 2026/09/15 02:38:46.922, 4, 16, 2835 MHz
