# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:39:14+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pLOC_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=LOC"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:39:14.161, 2, 16, 2835 MHz
1, 2026/09/15 02:39:14.166, 4, 16, 2790 MHz
0, 2026/09/15 02:39:14.669, 2, 16, 585 MHz
1, 2026/09/15 02:39:14.669, 2, 16, 2790 MHz
0, 2026/09/15 02:39:15.169, 2, 16, 585 MHz
1, 2026/09/15 02:39:15.172, 2, 16, 630 MHz
0, 2026/09/15 02:39:15.695, 4, 16, 2520 MHz
1, 2026/09/15 02:39:15.696, 4, 16, 2520 MHz
0, 2026/09/15 02:39:16.196, 4, 16, 2520 MHz
1, 2026/09/15 02:39:16.196, 4, 16, 2520 MHz
0, 2026/09/15 02:39:16.696, 4, 16, 2835 MHz
1, 2026/09/15 02:39:16.696, 4, 16, 2790 MHz
0, 2026/09/15 02:39:17.197, 4, 16, 2835 MHz
1, 2026/09/15 02:39:17.197, 4, 16, 2790 MHz
0, 2026/09/15 02:39:17.697, 4, 16, 2835 MHz
1, 2026/09/15 02:39:17.697, 4, 16, 2790 MHz
0, 2026/09/15 02:39:18.198, 4, 16, 2835 MHz
1, 2026/09/15 02:39:18.198, 4, 16, 2790 MHz
0, 2026/09/15 02:39:18.698, 4, 16, 2835 MHz
1, 2026/09/15 02:39:18.699, 4, 16, 2790 MHz
0, 2026/09/15 02:39:19.199, 4, 16, 2835 MHz
1, 2026/09/15 02:39:19.199, 4, 16, 2790 MHz
0, 2026/09/15 02:39:19.699, 4, 16, 2835 MHz
1, 2026/09/15 02:39:19.700, 4, 16, 2790 MHz
0, 2026/09/15 02:39:20.200, 4, 16, 2835 MHz
1, 2026/09/15 02:39:20.200, 4, 16, 2790 MHz
0, 2026/09/15 02:39:20.700, 4, 16, 2835 MHz
1, 2026/09/15 02:39:20.701, 4, 16, 2790 MHz
0, 2026/09/15 02:39:21.201, 4, 16, 2835 MHz
1, 2026/09/15 02:39:21.201, 4, 16, 2790 MHz
0, 2026/09/15 02:39:21.701, 4, 16, 2835 MHz
1, 2026/09/15 02:39:21.702, 4, 16, 2790 MHz
0, 2026/09/15 02:39:22.202, 4, 16, 2835 MHz
1, 2026/09/15 02:39:22.202, 4, 16, 2790 MHz
0, 2026/09/15 02:39:22.702, 4, 16, 2835 MHz
1, 2026/09/15 02:39:22.703, 4, 16, 2790 MHz
0, 2026/09/15 02:39:23.203, 4, 16, 2835 MHz
1, 2026/09/15 02:39:23.203, 4, 16, 2790 MHz
0, 2026/09/15 02:39:23.703, 4, 16, 2835 MHz
1, 2026/09/15 02:39:23.703, 4, 16, 2790 MHz
0, 2026/09/15 02:39:24.204, 4, 16, 2835 MHz
1, 2026/09/15 02:39:24.204, 4, 16, 2790 MHz
0, 2026/09/15 02:39:24.704, 4, 16, 2835 MHz
1, 2026/09/15 02:39:24.704, 4, 16, 2790 MHz
0, 2026/09/15 02:39:25.205, 4, 16, 2835 MHz
1, 2026/09/15 02:39:25.205, 4, 16, 2790 MHz
0, 2026/09/15 02:39:25.705, 4, 16, 2835 MHz
1, 2026/09/15 02:39:25.706, 4, 16, 2790 MHz
0, 2026/09/15 02:39:26.206, 4, 16, 2835 MHz
1, 2026/09/15 02:39:26.206, 4, 16, 2790 MHz
0, 2026/09/15 02:39:26.706, 4, 16, 2835 MHz
1, 2026/09/15 02:39:26.706, 4, 16, 2790 MHz
0, 2026/09/15 02:39:27.207, 4, 16, 2835 MHz
1, 2026/09/15 02:39:27.207, 4, 16, 2790 MHz
0, 2026/09/15 02:39:27.707, 4, 16, 2835 MHz
1, 2026/09/15 02:39:27.707, 4, 16, 2790 MHz
0, 2026/09/15 02:39:28.208, 4, 16, 2835 MHz
1, 2026/09/15 02:39:28.208, 4, 16, 2820 MHz
0, 2026/09/15 02:39:28.708, 4, 16, 2835 MHz
1, 2026/09/15 02:39:28.708, 4, 16, 2820 MHz
0, 2026/09/15 02:39:29.208, 4, 16, 2835 MHz
1, 2026/09/15 02:39:29.209, 4, 16, 2820 MHz
0, 2026/09/15 02:39:29.709, 4, 16, 2835 MHz
1, 2026/09/15 02:39:29.709, 4, 16, 2820 MHz
0, 2026/09/15 02:39:30.209, 4, 16, 2835 MHz
1, 2026/09/15 02:39:30.210, 4, 16, 2820 MHz
0, 2026/09/15 02:39:30.710, 4, 16, 2835 MHz
1, 2026/09/15 02:39:30.710, 4, 16, 2820 MHz
0, 2026/09/15 02:39:31.210, 4, 16, 2835 MHz
1, 2026/09/15 02:39:31.210, 4, 16, 2820 MHz
0, 2026/09/15 02:39:31.711, 4, 16, 2835 MHz
1, 2026/09/15 02:39:31.711, 4, 16, 2820 MHz
0, 2026/09/15 02:39:32.211, 4, 16, 2835 MHz
1, 2026/09/15 02:39:32.211, 4, 16, 2820 MHz
0, 2026/09/15 02:39:32.711, 4, 16, 2835 MHz
1, 2026/09/15 02:39:32.712, 4, 16, 2820 MHz
0, 2026/09/15 02:39:33.212, 4, 16, 2835 MHz
1, 2026/09/15 02:39:33.212, 4, 16, 2820 MHz
0, 2026/09/15 02:39:33.712, 4, 16, 2835 MHz
1, 2026/09/15 02:39:33.713, 4, 16, 2820 MHz
0, 2026/09/15 02:39:34.213, 4, 16, 2835 MHz
1, 2026/09/15 02:39:34.213, 4, 16, 2820 MHz
0, 2026/09/15 02:39:34.713, 4, 16, 2835 MHz
1, 2026/09/15 02:39:34.713, 4, 16, 2820 MHz
0, 2026/09/15 02:39:35.214, 4, 16, 2835 MHz
1, 2026/09/15 02:39:35.214, 4, 16, 2820 MHz
0, 2026/09/15 02:39:35.714, 4, 16, 2835 MHz
1, 2026/09/15 02:39:35.714, 4, 16, 2820 MHz
0, 2026/09/15 02:39:36.215, 4, 16, 2835 MHz
1, 2026/09/15 02:39:36.215, 4, 16, 2820 MHz
0, 2026/09/15 02:39:36.715, 4, 16, 2835 MHz
1, 2026/09/15 02:39:36.715, 4, 16, 2820 MHz
0, 2026/09/15 02:39:37.215, 4, 16, 2835 MHz
1, 2026/09/15 02:39:37.216, 4, 16, 2820 MHz
0, 2026/09/15 02:39:37.716, 4, 16, 2835 MHz
1, 2026/09/15 02:39:37.716, 4, 16, 2820 MHz
0, 2026/09/15 02:39:38.216, 4, 16, 2835 MHz
1, 2026/09/15 02:39:38.217, 4, 16, 2820 MHz
0, 2026/09/15 02:39:38.717, 4, 16, 2835 MHz
1, 2026/09/15 02:39:38.717, 4, 16, 2820 MHz
0, 2026/09/15 02:39:39.217, 4, 16, 2835 MHz
1, 2026/09/15 02:39:39.217, 4, 16, 2820 MHz
0, 2026/09/15 02:39:39.718, 4, 16, 2835 MHz
1, 2026/09/15 02:39:39.718, 4, 16, 2820 MHz
0, 2026/09/15 02:39:40.218, 4, 16, 2835 MHz
1, 2026/09/15 02:39:40.218, 4, 16, 2820 MHz
0, 2026/09/15 02:39:40.719, 4, 16, 2835 MHz
1, 2026/09/15 02:39:40.719, 4, 16, 2820 MHz
0, 2026/09/15 02:39:41.219, 4, 16, 2835 MHz
1, 2026/09/15 02:39:41.219, 4, 16, 2820 MHz
0, 2026/09/15 02:39:41.720, 4, 16, 2835 MHz
1, 2026/09/15 02:39:41.720, 4, 16, 2820 MHz
0, 2026/09/15 02:39:42.220, 4, 16, 2835 MHz
1, 2026/09/15 02:39:42.220, 4, 16, 2820 MHz
0, 2026/09/15 02:39:42.720, 4, 16, 2835 MHz
1, 2026/09/15 02:39:42.721, 4, 16, 2820 MHz
