# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:40:25+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pPHB_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=PHB"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:40:25.162, 2, 16, 2835 MHz
1, 2026/09/15 02:40:25.167, 4, 16, 2820 MHz
0, 2026/09/15 02:40:25.670, 2, 16, 585 MHz
1, 2026/09/15 02:40:25.671, 2, 16, 2820 MHz
0, 2026/09/15 02:40:26.171, 2, 16, 585 MHz
1, 2026/09/15 02:40:26.190, 2, 16, 615 MHz
0, 2026/09/15 02:40:26.690, 4, 16, 2520 MHz
1, 2026/09/15 02:40:26.690, 4, 16, 2520 MHz
0, 2026/09/15 02:40:27.191, 4, 16, 2520 MHz
1, 2026/09/15 02:40:27.191, 4, 16, 2520 MHz
0, 2026/09/15 02:40:27.691, 4, 16, 2835 MHz
1, 2026/09/15 02:40:27.691, 4, 16, 2820 MHz
0, 2026/09/15 02:40:28.192, 4, 16, 2835 MHz
1, 2026/09/15 02:40:28.192, 4, 16, 2820 MHz
0, 2026/09/15 02:40:28.692, 4, 16, 2835 MHz
1, 2026/09/15 02:40:28.692, 4, 16, 2820 MHz
0, 2026/09/15 02:40:29.192, 4, 16, 2835 MHz
1, 2026/09/15 02:40:29.192, 4, 16, 2820 MHz
0, 2026/09/15 02:40:29.693, 4, 16, 2835 MHz
1, 2026/09/15 02:40:29.693, 4, 16, 2820 MHz
0, 2026/09/15 02:40:30.193, 4, 16, 2835 MHz
1, 2026/09/15 02:40:30.193, 4, 16, 2820 MHz
0, 2026/09/15 02:40:30.693, 4, 16, 2835 MHz
1, 2026/09/15 02:40:30.694, 4, 16, 2820 MHz
0, 2026/09/15 02:40:31.194, 4, 16, 2835 MHz
1, 2026/09/15 02:40:31.194, 4, 16, 2820 MHz
0, 2026/09/15 02:40:31.694, 4, 16, 2835 MHz
1, 2026/09/15 02:40:31.694, 4, 16, 2820 MHz
0, 2026/09/15 02:40:32.194, 4, 16, 2835 MHz
1, 2026/09/15 02:40:32.195, 4, 16, 2820 MHz
0, 2026/09/15 02:40:32.695, 4, 16, 2835 MHz
1, 2026/09/15 02:40:32.695, 4, 16, 2820 MHz
0, 2026/09/15 02:40:33.195, 4, 16, 2835 MHz
1, 2026/09/15 02:40:33.195, 4, 16, 2820 MHz
0, 2026/09/15 02:40:33.696, 4, 16, 2835 MHz
1, 2026/09/15 02:40:33.696, 4, 16, 2820 MHz
0, 2026/09/15 02:40:34.196, 4, 16, 2835 MHz
1, 2026/09/15 02:40:34.196, 4, 16, 2820 MHz
0, 2026/09/15 02:40:34.696, 4, 16, 2835 MHz
1, 2026/09/15 02:40:34.697, 4, 16, 2820 MHz
0, 2026/09/15 02:40:35.197, 4, 16, 2835 MHz
1, 2026/09/15 02:40:35.197, 4, 16, 2820 MHz
0, 2026/09/15 02:40:35.697, 4, 16, 2835 MHz
1, 2026/09/15 02:40:35.697, 4, 16, 2820 MHz
0, 2026/09/15 02:40:36.198, 4, 16, 2835 MHz
1, 2026/09/15 02:40:36.198, 4, 16, 2820 MHz
0, 2026/09/15 02:40:36.698, 4, 16, 2835 MHz
1, 2026/09/15 02:40:36.698, 4, 16, 2820 MHz
0, 2026/09/15 02:40:37.198, 4, 16, 2835 MHz
1, 2026/09/15 02:40:37.199, 4, 16, 2820 MHz
0, 2026/09/15 02:40:37.699, 4, 16, 2835 MHz
1, 2026/09/15 02:40:37.699, 4, 16, 2820 MHz
0, 2026/09/15 02:40:38.199, 4, 16, 2835 MHz
