# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:39:47+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pPIX_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=PIX"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:39:47.440, 2, 16, 2520 MHz
1, 2026/09/15 02:39:47.445, 2, 16, 2520 MHz
0, 2026/09/15 02:39:47.948, 2, 16, 2520 MHz
1, 2026/09/15 02:39:47.948, 2, 16, 645 MHz
0, 2026/09/15 02:39:48.448, 2, 16, 615 MHz
1, 2026/09/15 02:39:48.449, 2, 16, 645 MHz
0, 2026/09/15 02:39:48.950, 1, 16, 420 MHz
1, 2026/09/15 02:39:48.950, 4, 16, 2520 MHz
0, 2026/09/15 02:39:49.450, 4, 16, 2520 MHz
1, 2026/09/15 02:39:49.451, 4, 16, 2520 MHz
0, 2026/09/15 02:39:49.951, 4, 16, 2835 MHz
1, 2026/09/15 02:39:49.951, 4, 16, 2820 MHz
0, 2026/09/15 02:39:50.451, 4, 16, 2835 MHz
1, 2026/09/15 02:39:50.451, 4, 16, 2820 MHz
0, 2026/09/15 02:39:50.952, 4, 16, 2835 MHz
1, 2026/09/15 02:39:50.952, 4, 16, 2820 MHz
0, 2026/09/15 02:39:51.452, 4, 16, 2835 MHz
1, 2026/09/15 02:39:51.452, 4, 16, 2820 MHz
0, 2026/09/15 02:39:51.953, 4, 16, 2835 MHz
1, 2026/09/15 02:39:51.953, 4, 16, 2820 MHz
0, 2026/09/15 02:39:52.453, 4, 16, 2835 MHz
1, 2026/09/15 02:39:52.454, 4, 16, 2820 MHz
0, 2026/09/15 02:39:52.954, 4, 16, 2835 MHz
1, 2026/09/15 02:39:52.954, 4, 16, 2820 MHz
0, 2026/09/15 02:39:53.454, 4, 16, 2835 MHz
1, 2026/09/15 02:39:53.455, 4, 16, 2820 MHz
0, 2026/09/15 02:39:53.955, 4, 16, 2835 MHz
1, 2026/09/15 02:39:53.955, 4, 16, 2820 MHz
0, 2026/09/15 02:39:54.455, 4, 16, 2835 MHz
1, 2026/09/15 02:39:54.456, 4, 16, 2820 MHz
0, 2026/09/15 02:39:54.956, 4, 16, 2835 MHz
1, 2026/09/15 02:39:54.956, 4, 16, 2820 MHz
0, 2026/09/15 02:39:55.456, 4, 16, 2835 MHz
1, 2026/09/15 02:39:55.457, 4, 16, 2820 MHz
0, 2026/09/15 02:39:55.957, 4, 16, 2835 MHz
1, 2026/09/15 02:39:55.957, 4, 16, 2820 MHz
0, 2026/09/15 02:39:56.458, 4, 16, 2835 MHz
1, 2026/09/15 02:39:56.458, 4, 16, 2820 MHz
0, 2026/09/15 02:39:56.958, 4, 16, 2835 MHz
1, 2026/09/15 02:39:56.958, 4, 16, 2820 MHz
0, 2026/09/15 02:39:57.459, 4, 16, 2835 MHz
1, 2026/09/15 02:39:57.459, 4, 16, 2820 MHz
0, 2026/09/15 02:39:57.959, 4, 16, 2835 MHz
1, 2026/09/15 02:39:57.959, 4, 16, 2820 MHz
0, 2026/09/15 02:39:58.460, 4, 16, 2835 MHz
1, 2026/09/15 02:39:58.460, 4, 16, 2820 MHz
0, 2026/09/15 02:39:58.960, 4, 16, 2835 MHz
1, 2026/09/15 02:39:58.960, 4, 16, 2820 MHz
0, 2026/09/15 02:39:59.460, 4, 16, 2835 MHz
1, 2026/09/15 02:39:59.461, 4, 16, 2820 MHz
0, 2026/09/15 02:39:59.961, 4, 16, 2835 MHz
1, 2026/09/15 02:39:59.961, 4, 16, 2820 MHz
0, 2026/09/15 02:40:00.461, 4, 16, 2835 MHz
1, 2026/09/15 02:40:00.462, 4, 16, 2820 MHz
0, 2026/09/15 02:40:00.962, 4, 16, 2835 MHz
1, 2026/09/15 02:40:00.962, 4, 16, 2820 MHz
0, 2026/09/15 02:40:01.463, 4, 16, 2835 MHz
1, 2026/09/15 02:40:01.463, 4, 16, 2820 MHz
0, 2026/09/15 02:40:01.963, 4, 16, 2835 MHz
1, 2026/09/15 02:40:01.964, 4, 16, 2820 MHz
0, 2026/09/15 02:40:02.464, 4, 16, 2835 MHz
1, 2026/09/15 02:40:02.464, 4, 16, 2820 MHz
0, 2026/09/15 02:40:02.964, 4, 16, 2835 MHz
1, 2026/09/15 02:40:02.964, 4, 16, 2820 MHz
0, 2026/09/15 02:40:03.465, 4, 16, 2835 MHz
1, 2026/09/15 02:40:03.467, 4, 16, 2820 MHz
0, 2026/09/15 02:40:03.967, 4, 16, 2835 MHz
1, 2026/09/15 02:40:03.967, 4, 16, 2820 MHz
0, 2026/09/15 02:40:04.468, 4, 16, 2835 MHz
1, 2026/09/15 02:40:04.468, 4, 16, 2820 MHz
0, 2026/09/15 02:40:04.968, 4, 16, 2835 MHz
1, 2026/09/15 02:40:04.968, 4, 16, 2820 MHz
0, 2026/09/15 02:40:05.469, 4, 16, 2835 MHz
1, 2026/09/15 02:40:05.469, 4, 16, 2820 MHz
0, 2026/09/15 02:40:05.969, 4, 16, 2835 MHz
1, 2026/09/15 02:40:05.969, 4, 16, 2820 MHz
0, 2026/09/15 02:40:06.470, 4, 16, 2835 MHz
1, 2026/09/15 02:40:06.470, 4, 16, 2820 MHz
0, 2026/09/15 02:40:06.970, 4, 16, 2835 MHz
1, 2026/09/15 02:40:06.970, 4, 16, 2820 MHz
0, 2026/09/15 02:40:07.471, 4, 16, 2835 MHz
1, 2026/09/15 02:40:07.471, 4, 16, 2820 MHz
