# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:40:59+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pSYS_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=SYS"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:40:59.379, 2, 16, 2835 MHz
1, 2026/09/15 02:40:59.384, 4, 16, 2820 MHz
0, 2026/09/15 02:40:59.888, 2, 16, 2835 MHz
1, 2026/09/15 02:40:59.888, 2, 16, 2820 MHz
0, 2026/09/15 02:41:00.388, 2, 16, 525 MHz
1, 2026/09/15 02:41:00.389, 2, 16, 645 MHz
0, 2026/09/15 02:41:00.889, 4, 16, 2520 MHz
1, 2026/09/15 02:41:00.889, 2, 16, 645 MHz
0, 2026/09/15 02:41:01.389, 4, 16, 2520 MHz
1, 2026/09/15 02:41:01.389, 4, 16, 2520 MHz
0, 2026/09/15 02:41:01.889, 4, 16, 2835 MHz
1, 2026/09/15 02:41:01.890, 4, 16, 2520 MHz
0, 2026/09/15 02:41:02.390, 4, 16, 2835 MHz
1, 2026/09/15 02:41:02.428, 4, 16, 2820 MHz
0, 2026/09/15 02:41:02.932, 4, 16, 2835 MHz
1, 2026/09/15 02:41:02.932, 4, 16, 2820 MHz
0, 2026/09/15 02:41:03.432, 4, 16, 2835 MHz
1, 2026/09/15 02:41:03.432, 4, 16, 2820 MHz
0, 2026/09/15 02:41:03.932, 4, 16, 2835 MHz
1, 2026/09/15 02:41:03.933, 4, 16, 2820 MHz
0, 2026/09/15 02:41:04.433, 4, 16, 2835 MHz
1, 2026/09/15 02:41:04.433, 4, 16, 2820 MHz
0, 2026/09/15 02:41:04.933, 4, 16, 2835 MHz
1, 2026/09/15 02:41:04.933, 4, 16, 2820 MHz
0, 2026/09/15 02:41:05.433, 4, 16, 2835 MHz
1, 2026/09/15 02:41:05.434, 4, 16, 2820 MHz
0, 2026/09/15 02:41:05.934, 4, 16, 2835 MHz
1, 2026/09/15 02:41:05.934, 4, 16, 2820 MHz
0, 2026/09/15 02:41:06.434, 4, 16, 2835 MHz
1, 2026/09/15 02:41:06.434, 4, 16, 2820 MHz
0, 2026/09/15 02:41:06.935, 4, 16, 2835 MHz
1, 2026/09/15 02:41:06.935, 4, 16, 2820 MHz
0, 2026/09/15 02:41:07.435, 4, 16, 2835 MHz
1, 2026/09/15 02:41:07.435, 4, 16, 2820 MHz
0, 2026/09/15 02:41:07.935, 4, 16, 2835 MHz
1, 2026/09/15 02:41:07.935, 4, 16, 2820 MHz
0, 2026/09/15 02:41:08.436, 4, 16, 2835 MHz
1, 2026/09/15 02:41:08.436, 4, 16, 2820 MHz
0, 2026/09/15 02:41:08.936, 4, 16, 2835 MHz
1, 2026/09/15 02:41:08.936, 4, 16, 2820 MHz
0, 2026/09/15 02:41:09.436, 4, 16, 2835 MHz
1, 2026/09/15 02:41:09.436, 4, 16, 2820 MHz
0, 2026/09/15 02:41:09.937, 4, 16, 2835 MHz
1, 2026/09/15 02:41:09.937, 4, 16, 2820 MHz
0, 2026/09/15 02:41:10.437, 4, 16, 2835 MHz
1, 2026/09/15 02:41:10.437, 4, 16, 2820 MHz
0, 2026/09/15 02:41:10.937, 4, 16, 2835 MHz
1, 2026/09/15 02:41:10.937, 4, 16, 2820 MHz
0, 2026/09/15 02:41:11.438, 4, 16, 2835 MHz
1, 2026/09/15 02:41:11.438, 4, 16, 2820 MHz
0, 2026/09/15 02:41:11.938, 4, 16, 2835 MHz
1, 2026/09/15 02:41:11.938, 4, 16, 2820 MHz
0, 2026/09/15 02:41:12.438, 4, 16, 2835 MHz
1, 2026/09/15 02:41:12.439, 4, 16, 2820 MHz
0, 2026/09/15 02:41:12.939, 4, 16, 2835 MHz
1, 2026/09/15 02:41:12.939, 4, 16, 2820 MHz
0, 2026/09/15 02:41:13.439, 4, 16, 2835 MHz
1, 2026/09/15 02:41:13.439, 4, 16, 2820 MHz
0, 2026/09/15 02:41:13.939, 4, 16, 2835 MHz
1, 2026/09/15 02:41:13.940, 4, 16, 2820 MHz
0, 2026/09/15 02:41:14.440, 4, 16, 2835 MHz
1, 2026/09/15 02:41:14.440, 4, 16, 2820 MHz
0, 2026/09/15 02:41:14.940, 4, 16, 2835 MHz
1, 2026/09/15 02:41:14.940, 4, 16, 2820 MHz
0, 2026/09/15 02:41:15.441, 4, 16, 2835 MHz
1, 2026/09/15 02:41:15.441, 4, 16, 2820 MHz
