# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:53:15+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=float round=3
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 02:53:15.803, 4, 16, 2835 MHz, 10501 MHz, P0, 88.18 W
1, 2026/09/15 02:53:15.812, 4, 16, 2820 MHz, 10501 MHz, P0, 85.09 W
0, 2026/09/15 02:53:16.018, 4, 16, 2835 MHz, 10501 MHz, P0, 88.18 W
1, 2026/09/15 02:53:16.019, 4, 16, 2820 MHz, 10501 MHz, P0, 78.52 W
0, 2026/09/15 02:53:16.219, 4, 16, 2835 MHz, 10501 MHz, P0, 85.92 W
1, 2026/09/15 02:53:16.219, 4, 16, 2820 MHz, 10501 MHz, P0, 78.52 W
0, 2026/09/15 02:53:16.419, 4, 16, 2835 MHz, 10501 MHz, P0, 85.92 W
1, 2026/09/15 02:53:16.433, 4, 16, 2820 MHz, 10501 MHz, P0, 78.52 W
0, 2026/09/15 02:53:16.633, 4, 16, 2520 MHz, 10501 MHz, P0, 82.63 W
1, 2026/09/15 02:53:16.633, 2, 16, 600 MHz, 810 MHz, P5, 78.87 W
0, 2026/09/15 02:53:16.841, 4, 16, 2520 MHz, 10501 MHz, P0, 82.63 W
1, 2026/09/15 02:53:16.841, 2, 16, 600 MHz, 810 MHz, P5, 78.87 W
0, 2026/09/15 02:53:17.041, 4, 16, 2520 MHz, 10501 MHz, P0, 82.63 W
1, 2026/09/15 02:53:17.041, 4, 16, 2520 MHz, 10251 MHz, P2, 65.69 W
0, 2026/09/15 02:53:17.241, 4, 16, 2520 MHz, 10251 MHz, P2, 74.70 W
1, 2026/09/15 02:53:17.242, 4, 16, 2520 MHz, 10251 MHz, P2, 65.69 W
0, 2026/09/15 02:53:17.442, 4, 16, 2520 MHz, 10251 MHz, P2, 74.70 W
