# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:52:40+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=half round=1
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 02:52:40.528, 4, 16, 2835 MHz, 10501 MHz, P0, 89.22 W
1, 2026/09/15 02:52:40.537, 4, 16, 2820 MHz, 10501 MHz, P0, 78.94 W
0, 2026/09/15 02:52:40.743, 4, 16, 2835 MHz, 10501 MHz, P0, 83.82 W
1, 2026/09/15 02:52:40.743, 4, 16, 2820 MHz, 10501 MHz, P0, 78.94 W
0, 2026/09/15 02:52:40.944, 4, 16, 2835 MHz, 10501 MHz, P0, 83.82 W
1, 2026/09/15 02:52:40.944, 4, 16, 2820 MHz, 10501 MHz, P0, 78.94 W
0, 2026/09/15 02:52:41.144, 4, 16, 2835 MHz, 10501 MHz, P3, 83.78 W
1, 2026/09/15 02:52:41.154, 4, 16, 2820 MHz, 10501 MHz, P0, 77.65 W
0, 2026/09/15 02:52:41.354, 4, 16, 2835 MHz, 10501 MHz, P3, 83.78 W
1, 2026/09/15 02:52:41.370, 4, 16, 2820 MHz, 10501 MHz, P0, 77.65 W
0, 2026/09/15 02:52:41.570, 4, 16, 2835 MHz, 10501 MHz, P3, 83.78 W
1, 2026/09/15 02:52:41.570, 4, 16, 2520 MHz, 10251 MHz, P2, 66.65 W
0, 2026/09/15 02:52:41.770, 4, 16, 2520 MHz, 10251 MHz, P2, 67.07 W
1, 2026/09/15 02:52:41.770, 4, 16, 2520 MHz, 10251 MHz, P2, 66.65 W
0, 2026/09/15 02:52:41.971, 4, 16, 2520 MHz, 10251 MHz, P2, 67.07 W
