# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:35:39+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=control_idle_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:35:40.118, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:40.124, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:40.328, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:40.328, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:40.528, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:40.528, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:40.729, 4, 16, 2520 MHz, 0 %, 23651 MiB
1, 2026/09/15 03:35:40.729, 2, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:40.929, 4, 16, 2520 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:35:40.930, 2, 16, 2520 MHz, 0 %, 24011 MiB
0, 2026/09/15 03:35:41.130, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:35:41.130, 4, 16, 2520 MHz, 0 %, 24039 MiB
0, 2026/09/15 03:35:41.330, 4, 16, 2520 MHz, 10 %, 23759 MiB
1, 2026/09/15 03:35:41.330, 4, 16, 2520 MHz, 0 %, 23713 MiB
0, 2026/09/15 03:35:41.531, 4, 16, 2520 MHz, 10 %, 23745 MiB
1, 2026/09/15 03:35:41.531, 4, 16, 2520 MHz, 0 %, 23721 MiB
0, 2026/09/15 03:35:41.731, 4, 16, 2520 MHz, 8 %, 23721 MiB
1, 2026/09/15 03:35:41.732, 4, 16, 2520 MHz, 8 %, 23729 MiB
0, 2026/09/15 03:35:41.932, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:41.932, 4, 16, 2520 MHz, 8 %, 23741 MiB
0, 2026/09/15 03:35:42.132, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:42.132, 4, 16, 2520 MHz, 8 %, 23753 MiB
0, 2026/09/15 03:35:42.333, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:42.333, 4, 16, 2520 MHz, 8 %, 23725 MiB
0, 2026/09/15 03:35:42.533, 4, 16, 2520 MHz, 8 %, 23731 MiB
1, 2026/09/15 03:35:42.533, 4, 16, 2520 MHz, 8 %, 23725 MiB
0, 2026/09/15 03:35:42.733, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:42.734, 4, 16, 2520 MHz, 8 %, 23737 MiB
0, 2026/09/15 03:35:42.934, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:42.934, 4, 16, 2520 MHz, 8 %, 23749 MiB
0, 2026/09/15 03:35:43.134, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:35:43.134, 4, 16, 2520 MHz, 9 %, 23759 MiB
0, 2026/09/15 03:35:43.335, 4, 16, 2520 MHz, 8 %, 23723 MiB
1, 2026/09/15 03:35:43.335, 4, 16, 2520 MHz, 9 %, 23733 MiB
0, 2026/09/15 03:35:43.535, 4, 16, 2520 MHz, 8 %, 23739 MiB
1, 2026/09/15 03:35:43.535, 4, 16, 2520 MHz, 9 %, 23711 MiB
0, 2026/09/15 03:35:43.736, 4, 16, 2520 MHz, 8 %, 23749 MiB
1, 2026/09/15 03:35:43.736, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:35:43.936, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:35:43.936, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:35:44.137, 4, 16, 2520 MHz, 8 %, 23745 MiB
1, 2026/09/15 03:35:44.137, 4, 16, 2520 MHz, 8 %, 23721 MiB
0, 2026/09/15 03:35:44.337, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:44.337, 4, 16, 2520 MHz, 8 %, 23737 MiB
0, 2026/09/15 03:35:44.538, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:44.538, 4, 16, 2520 MHz, 8 %, 23753 MiB
0, 2026/09/15 03:35:44.738, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:35:44.738, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:35:44.939, 4, 16, 2520 MHz, 8 %, 24105 MiB
1, 2026/09/15 03:35:44.940, 4, 16, 2520 MHz, 8 %, 24041 MiB
0, 2026/09/15 03:35:45.142, 4, 16, 2520 MHz, 8 %, 23620 MiB
1, 2026/09/15 03:35:45.142, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:45.342, 4, 16, 2520 MHz, 9 %, 23620 MiB
1, 2026/09/15 03:35:45.342, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:45.543, 4, 16, 2520 MHz, 9 %, 23620 MiB
1, 2026/09/15 03:35:45.543, 4, 16, 2520 MHz, 0 %, 23620 MiB
