# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:36:03+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:36:03.760, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:36:03.766, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:36:03.969, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:36:03.969, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:36:04.170, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:36:04.170, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:36:04.370, 2, 16, 2520 MHz, 0 %, 23651 MiB
1, 2026/09/15 03:36:04.371, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:36:04.571, 2, 16, 2520 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:36:04.571, 4, 16, 2520 MHz, 0 %, 24011 MiB
0, 2026/09/15 03:36:04.771, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:36:04.772, 4, 16, 2520 MHz, 0 %, 24027 MiB
0, 2026/09/15 03:36:04.972, 4, 16, 2520 MHz, 0 %, 23745 MiB
1, 2026/09/15 03:36:04.972, 4, 16, 2520 MHz, 0 %, 23711 MiB
0, 2026/09/15 03:36:05.172, 4, 16, 2520 MHz, 0 %, 23753 MiB
1, 2026/09/15 03:36:05.172, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:36:05.373, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:36:05.373, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:36:05.573, 4, 16, 2520 MHz, 8 %, 23731 MiB
1, 2026/09/15 03:36:05.573, 4, 16, 2520 MHz, 8 %, 23725 MiB
0, 2026/09/15 03:36:05.774, 4, 16, 2520 MHz, 9 %, 23711 MiB
1, 2026/09/15 03:36:05.774, 4, 16, 2520 MHz, 8 %, 23739 MiB
0, 2026/09/15 03:36:05.974, 4, 16, 2520 MHz, 9 %, 23733 MiB
1, 2026/09/15 03:36:05.975, 4, 16, 2520 MHz, 8 %, 23719 MiB
0, 2026/09/15 03:36:06.175, 4, 16, 2520 MHz, 9 %, 23759 MiB
1, 2026/09/15 03:36:06.175, 4, 16, 2520 MHz, 9 %, 23713 MiB
0, 2026/09/15 03:36:06.375, 4, 16, 2520 MHz, 8 %, 23737 MiB
1, 2026/09/15 03:36:06.376, 4, 16, 2520 MHz, 9 %, 23723 MiB
0, 2026/09/15 03:36:06.576, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:36:06.576, 4, 16, 2520 MHz, 9 %, 23737 MiB
0, 2026/09/15 03:36:06.776, 4, 16, 2520 MHz, 9 %, 23723 MiB
1, 2026/09/15 03:36:06.777, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:36:06.977, 4, 16, 2520 MHz, 9 %, 23747 MiB
1, 2026/09/15 03:36:06.977, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:36:07.177, 4, 16, 2520 MHz, 9 %, 23759 MiB
1, 2026/09/15 03:36:07.178, 4, 16, 2505 MHz, 100 %, 23713 MiB
0, 2026/09/15 03:36:07.378, 4, 16, 2550 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:07.378, 4, 16, 2505 MHz, 100 %, 23735 MiB
0, 2026/09/15 03:36:07.578, 4, 16, 2550 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:07.578, 4, 16, 2505 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:07.779, 4, 16, 2370 MHz, 100 %, 23723 MiB
1, 2026/09/15 03:36:07.779, 4, 16, 2595 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:07.979, 4, 16, 2370 MHz, 100 %, 23745 MiB
1, 2026/09/15 03:36:07.979, 4, 16, 2595 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:08.179, 4, 16, 2370 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:08.180, 4, 16, 2430 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:08.380, 4, 16, 2505 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:08.380, 4, 16, 2430 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:08.580, 4, 16, 2505 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:08.581, 4, 16, 2430 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:08.781, 4, 16, 2370 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:08.781, 4, 16, 2580 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:08.981, 4, 16, 2370 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:08.982, 4, 16, 2580 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:09.182, 4, 16, 2370 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:09.182, 4, 16, 2415 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:09.382, 4, 16, 2490 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:09.382, 4, 16, 2415 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:09.583, 4, 16, 2490 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:09.583, 4, 16, 2415 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:09.783, 4, 16, 2370 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:09.783, 4, 16, 2565 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:09.984, 4, 16, 2370 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:09.984, 4, 16, 2565 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:10.184, 4, 16, 2370 MHz, 100 %, 23757 MiB
1, 2026/09/15 03:36:10.184, 4, 16, 2595 MHz, 100 %, 23711 MiB
