# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:38:54+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=control_idle_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:38:54.332, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:38:54.337, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:54.540, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:38:54.541, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:54.741, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:38:54.741, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:54.941, 4, 16, 2520 MHz, 0 %, 23651 MiB
1, 2026/09/15 03:38:54.941, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:55.142, 4, 16, 2520 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:38:55.142, 4, 16, 2520 MHz, 3 %, 24011 MiB
0, 2026/09/15 03:38:55.342, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:38:55.342, 4, 16, 2520 MHz, 3 %, 24031 MiB
0, 2026/09/15 03:38:55.543, 4, 16, 2520 MHz, 0 %, 23745 MiB
1, 2026/09/15 03:38:55.543, 4, 16, 2520 MHz, 3 %, 23711 MiB
0, 2026/09/15 03:38:55.743, 4, 16, 2520 MHz, 8 %, 23755 MiB
1, 2026/09/15 03:38:55.743, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:38:55.943, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:38:55.944, 4, 16, 2520 MHz, 8 %, 23715 MiB
0, 2026/09/15 03:38:56.144, 4, 16, 2520 MHz, 8 %, 23727 MiB
1, 2026/09/15 03:38:56.144, 4, 16, 2520 MHz, 8 %, 23725 MiB
0, 2026/09/15 03:38:56.345, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:56.345, 4, 16, 2520 MHz, 8 %, 23739 MiB
0, 2026/09/15 03:38:56.545, 4, 16, 2520 MHz, 8 %, 23749 MiB
1, 2026/09/15 03:38:56.545, 4, 16, 2520 MHz, 8 %, 23715 MiB
0, 2026/09/15 03:38:56.746, 4, 16, 2520 MHz, 7 %, 23747 MiB
1, 2026/09/15 03:38:56.746, 4, 16, 2520 MHz, 3 %, 23711 MiB
0, 2026/09/15 03:38:56.946, 4, 16, 2520 MHz, 7 %, 23755 MiB
1, 2026/09/15 03:38:56.946, 4, 16, 2520 MHz, 3 %, 23711 MiB
0, 2026/09/15 03:38:57.146, 4, 16, 2520 MHz, 7 %, 23757 MiB
1, 2026/09/15 03:38:57.147, 4, 16, 2520 MHz, 8 %, 23715 MiB
0, 2026/09/15 03:38:57.347, 4, 16, 2520 MHz, 8 %, 23721 MiB
1, 2026/09/15 03:38:57.347, 4, 16, 2520 MHz, 8 %, 23729 MiB
0, 2026/09/15 03:38:57.547, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:57.548, 4, 16, 2520 MHz, 8 %, 23741 MiB
0, 2026/09/15 03:38:57.748, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:57.748, 4, 16, 2520 MHz, 8 %, 23753 MiB
0, 2026/09/15 03:38:57.948, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:38:57.948, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:38:58.149, 4, 16, 2520 MHz, 8 %, 23723 MiB
