# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:39:12+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r1
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:39:12.348, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:39:12.354, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:12.558, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:39:12.558, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:12.758, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:39:12.758, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:12.959, 1, 16, 210 MHz, 0 %, 23651 MiB
1, 2026/09/15 03:39:12.959, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:13.159, 1, 16, 210 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:39:13.160, 4, 16, 2520 MHz, 1 %, 24011 MiB
0, 2026/09/15 03:39:13.360, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:39:13.360, 4, 16, 2520 MHz, 1 %, 24033 MiB
0, 2026/09/15 03:39:13.560, 4, 16, 2520 MHz, 0 %, 23759 MiB
1, 2026/09/15 03:39:13.560, 4, 16, 2520 MHz, 1 %, 23713 MiB
0, 2026/09/15 03:39:13.761, 4, 16, 2520 MHz, 8 %, 23723 MiB
1, 2026/09/15 03:39:13.761, 4, 16, 2520 MHz, 8 %, 23729 MiB
0, 2026/09/15 03:39:13.961, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:13.962, 4, 16, 2520 MHz, 8 %, 23741 MiB
0, 2026/09/15 03:39:14.162, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:14.162, 4, 16, 2520 MHz, 8 %, 23753 MiB
0, 2026/09/15 03:39:14.362, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:39:14.362, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:39:14.563, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:14.563, 4, 16, 2520 MHz, 8 %, 23735 MiB
0, 2026/09/15 03:39:14.763, 4, 16, 2520 MHz, 7 %, 23747 MiB
1, 2026/09/15 03:39:14.763, 4, 16, 2520 MHz, 3 %, 23719 MiB
0, 2026/09/15 03:39:14.964, 4, 16, 2520 MHz, 7 %, 23713 MiB
1, 2026/09/15 03:39:14.964, 4, 16, 2520 MHz, 3 %, 23735 MiB
0, 2026/09/15 03:39:15.164, 4, 16, 2520 MHz, 7 %, 23711 MiB
1, 2026/09/15 03:39:15.164, 4, 16, 2520 MHz, 8 %, 23749 MiB
0, 2026/09/15 03:39:15.365, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:15.365, 4, 16, 2520 MHz, 8 %, 23749 MiB
0, 2026/09/15 03:39:15.565, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:39:15.565, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:39:15.766, 4, 16, 2520 MHz, 8 %, 23717 MiB
1, 2026/09/15 03:39:15.766, 4, 16, 2520 MHz, 9 %, 23747 MiB
0, 2026/09/15 03:39:15.966, 4, 16, 2520 MHz, 8 %, 23729 MiB
1, 2026/09/15 03:39:15.967, 4, 16, 2520 MHz, 9 %, 23717 MiB
0, 2026/09/15 03:39:16.167, 4, 16, 2520 MHz, 8 %, 23745 MiB
1, 2026/09/15 03:39:16.167, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:39:16.368, 4, 16, 2520 MHz, 8 %, 23757 MiB
1, 2026/09/15 03:39:16.368, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:39:16.568, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:39:16.568, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:39:16.769, 4, 16, 2520 MHz, 8 %, 23723 MiB
1, 2026/09/15 03:39:16.769, 4, 16, 2520 MHz, 8 %, 23727 MiB
0, 2026/09/15 03:39:16.969, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:16.969, 4, 16, 2520 MHz, 8 %, 23747 MiB
0, 2026/09/15 03:39:17.170, 4, 16, 2520 MHz, 8 %, 24047 MiB
