# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:41:06+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=float round=29
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:41:06.929, 4, 16, 2835 MHz, 10501 MHz, P0, 87.99 W
1, 2026/09/15 09:41:06.935, 4, 16, 2820 MHz, 10501 MHz, P0, 80.35 W
0, 2026/09/15 09:41:07.141, 4, 16, 2835 MHz, 10501 MHz, P0, 87.99 W
1, 2026/09/15 09:41:07.141, 4, 16, 2820 MHz, 10501 MHz, P0, 80.35 W
0, 2026/09/15 09:41:07.341, 4, 16, 2835 MHz, 10501 MHz, P0, 87.30 W
1, 2026/09/15 09:41:07.342, 2, 16, 2820 MHz, 10501 MHz, P5, 78.78 W
0, 2026/09/15 09:41:07.542, 4, 16, 2835 MHz, 10501 MHz, P0, 87.30 W
1, 2026/09/15 09:41:07.563, 2, 16, 2820 MHz, 10501 MHz, P5, 78.78 W
0, 2026/09/15 09:41:07.764, 4, 16, 2835 MHz, 10501 MHz, P0, 87.30 W
1, 2026/09/15 09:41:07.764, 4, 16, 2520 MHz, 10501 MHz, P0, 50.70 W
0, 2026/09/15 09:41:07.964, 4, 16, 2520 MHz, 10251 MHz, P2, 73.60 W
1, 2026/09/15 09:41:07.964, 4, 16, 2520 MHz, 10501 MHz, P0, 50.70 W
0, 2026/09/15 09:41:08.164, 4, 16, 2520 MHz, 10251 MHz, P2, 73.60 W
1, 2026/09/15 09:41:08.165, 4, 16, 2520 MHz, 10501 MHz, P0, 50.70 W
0, 2026/09/15 09:41:08.365, 4, 16, 2520 MHz, 10251 MHz, P2, 67.65 W
1, 2026/09/15 09:41:08.365, 4, 16, 2520 MHz, 10251 MHz, P2, 47.25 W
0, 2026/09/15 09:41:08.566, 4, 16, 2520 MHz, 10251 MHz, P2, 67.65 W
1, 2026/09/15 09:41:08.566, 4, 16, 2520 MHz, 10251 MHz, P2, 47.25 W
0, 2026/09/15 09:41:08.766, 4, 16, 2520 MHz, 10251 MHz, P2, 67.65 W
1, 2026/09/15 09:41:08.766, 4, 16, 2820 MHz, 10251 MHz, P2, 47.25 W
0, 2026/09/15 09:41:08.966, 4, 16, 2835 MHz, 10251 MHz, P2, 71.34 W
1, 2026/09/15 09:41:08.967, 4, 16, 2820 MHz, 10251 MHz, P2, 67.09 W
0, 2026/09/15 09:41:09.167, 4, 16, 2835 MHz, 10251 MHz, P2, 71.34 W
1, 2026/09/15 09:41:09.167, 4, 16, 2820 MHz, 10251 MHz, P2, 67.09 W
0, 2026/09/15 09:41:09.367, 4, 16, 2835 MHz, 10251 MHz, P2, 90.38 W
1, 2026/09/15 09:41:09.367, 4, 16, 2820 MHz, 10251 MHz, P2, 86.30 W
0, 2026/09/15 09:41:09.568, 4, 16, 2835 MHz, 10251 MHz, P2, 90.38 W
1, 2026/09/15 09:41:09.568, 4, 16, 2820 MHz, 10251 MHz, P2, 86.30 W
0, 2026/09/15 09:41:09.768, 4, 16, 2835 MHz, 10251 MHz, P2, 90.38 W
1, 2026/09/15 09:41:09.768, 4, 16, 2820 MHz, 10251 MHz, P2, 99.85 W
0, 2026/09/15 09:41:09.968, 4, 16, 2835 MHz, 10251 MHz, P2, 109.94 W
1, 2026/09/15 09:41:09.969, 4, 16, 2820 MHz, 10251 MHz, P2, 99.85 W
0, 2026/09/15 09:41:10.169, 4, 16, 2835 MHz, 10251 MHz, P2, 109.94 W
1, 2026/09/15 09:41:10.169, 4, 16, 2820 MHz, 10251 MHz, P2, 99.85 W
0, 2026/09/15 09:41:10.369, 4, 16, 2835 MHz, 10251 MHz, P2, 114.32 W
