# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:36:11+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:36:11.952, 4, 16, 2805 MHz, 10501 MHz, P0, 84.28 W
1, 2026/09/15 09:36:11.959, 4, 16, 2820 MHz, 10501 MHz, P0, 79.89 W
0, 2026/09/15 09:36:12.164, 4, 16, 2805 MHz, 10501 MHz, P0, 84.28 W
1, 2026/09/15 09:36:12.164, 4, 16, 2820 MHz, 10501 MHz, P0, 79.89 W
0, 2026/09/15 09:36:12.364, 4, 16, 2805 MHz, 10501 MHz, P0, 82.48 W
1, 2026/09/15 09:36:12.364, 4, 16, 2820 MHz, 10501 MHz, P0, 77.91 W
0, 2026/09/15 09:36:12.565, 4, 16, 2805 MHz, 10501 MHz, P0, 82.48 W
1, 2026/09/15 09:36:12.576, 4, 16, 2820 MHz, 10501 MHz, P0, 77.91 W
0, 2026/09/15 09:36:12.777, 4, 16, 2520 MHz, 10251 MHz, P2, 77.90 W
1, 2026/09/15 09:36:12.778, 4, 16, 705 MHz, 810 MHz, P0, 63.82 W
0, 2026/09/15 09:36:12.978, 4, 16, 2520 MHz, 10251 MHz, P2, 77.90 W
1, 2026/09/15 09:36:12.979, 4, 16, 705 MHz, 810 MHz, P0, 63.82 W
0, 2026/09/15 09:36:13.179, 4, 16, 2520 MHz, 10251 MHz, P2, 77.90 W
1, 2026/09/15 09:36:13.179, 4, 16, 705 MHz, 810 MHz, P0, 63.82 W
0, 2026/09/15 09:36:13.379, 4, 16, 2520 MHz, 10251 MHz, P2, 70.51 W
1, 2026/09/15 09:36:13.379, 4, 16, 2520 MHz, 10251 MHz, P2, 55.13 W
0, 2026/09/15 09:36:13.580, 4, 16, 2520 MHz, 10251 MHz, P2, 70.51 W
1, 2026/09/15 09:36:13.580, 4, 16, 2520 MHz, 10251 MHz, P2, 55.13 W
0, 2026/09/15 09:36:13.780, 4, 16, 2805 MHz, 10251 MHz, P2, 70.32 W
1, 2026/09/15 09:36:13.780, 4, 16, 2820 MHz, 10251 MHz, P2, 61.71 W
0, 2026/09/15 09:36:13.980, 4, 16, 2805 MHz, 10251 MHz, P2, 70.32 W
1, 2026/09/15 09:36:13.981, 4, 16, 2820 MHz, 10251 MHz, P2, 61.71 W
0, 2026/09/15 09:36:14.181, 4, 16, 2805 MHz, 10251 MHz, P2, 70.32 W
1, 2026/09/15 09:36:14.181, 4, 16, 2820 MHz, 10251 MHz, P2, 61.71 W
0, 2026/09/15 09:36:14.381, 4, 16, 2805 MHz, 10251 MHz, P2, 87.17 W
1, 2026/09/15 09:36:14.381, 4, 16, 2820 MHz, 10251 MHz, P2, 83.44 W
0, 2026/09/15 09:36:14.582, 4, 16, 2805 MHz, 10251 MHz, P2, 87.17 W
1, 2026/09/15 09:36:14.582, 4, 16, 2820 MHz, 10251 MHz, P2, 83.44 W
0, 2026/09/15 09:36:14.782, 4, 16, 2805 MHz, 10251 MHz, P2, 105.53 W
1, 2026/09/15 09:36:14.782, 4, 16, 2820 MHz, 10251 MHz, P2, 99.86 W
0, 2026/09/15 09:36:14.982, 4, 16, 2805 MHz, 10251 MHz, P2, 105.53 W
1, 2026/09/15 09:36:14.983, 4, 16, 2820 MHz, 10251 MHz, P2, 99.86 W
0, 2026/09/15 09:36:15.183, 4, 16, 2805 MHz, 10251 MHz, P2, 105.53 W
1, 2026/09/15 09:36:15.183, 4, 16, 2820 MHz, 10251 MHz, P2, 99.86 W
0, 2026/09/15 09:36:15.383, 4, 16, 2805 MHz, 10251 MHz, P2, 110.36 W
1, 2026/09/15 09:36:15.383, 4, 16, 2820 MHz, 10251 MHz, P2, 104.36 W
0, 2026/09/15 09:36:15.584, 4, 16, 2805 MHz, 10251 MHz, P2, 110.36 W
1, 2026/09/15 09:36:15.584, 4, 16, 2820 MHz, 10251 MHz, P2, 104.36 W
0, 2026/09/15 09:36:15.784, 4, 16, 2805 MHz, 10251 MHz, P2, 111.66 W
1, 2026/09/15 09:36:15.784, 4, 16, 2820 MHz, 10251 MHz, P2, 105.18 W
