# provenance: env=sys sha=717b683182 cmd="python3 scripts/nccl_dtype_scan_analyze.py 20260915T0248" date=2026-09-15T02:50:34+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-021 source=20260915T0248_allreduce_size_scan_*_r*.txt threshold="|Δ|<10% vs float on plateau(16M-256M)/t8K/t1M/floor(16B-8K)"
# section=summary
dtype,plateau_r1_GBps,plateau_r2_GBps,plateau_mean_GBps,delta_plateau_vs_float_pct,round_spread_pct,t8K_mean_us,delta_t8K_vs_float_pct,t1M_mean_us,delta_t1M_vs_float_pct,floor_16B_8K_mean_us,delta_floor_vs_float_pct,verdict_lt10pct
float,7.498,2.154,4.826,0.0,110.73,13.84,0.0,450.09,0.0,14.4,0.0,ref
half,6.062,6.052,6.057,25.51,0.17,14.29,3.22,171.33,-61.93,13.77,-4.42,FAIL
bfloat16,6.048,6.738,6.393,32.47,10.79,13.39,-3.22,161.36,-64.15,13.53,-6.06,FAIL
# section=per_size (mean of r1,r2; small range uses n=100 file, large range n=20 file; 1M appears in both -> large)
size_B,float_time_us,float_busbw_GBps,half_time_us,half_busbw_GBps,bfloat16_time_us,bfloat16_busbw_GBps
8,15.23,0.000,15.50,0.000,21.12,0.000
16,14.29,0.000,13.57,0.000,13.56,0.000
32,14.21,0.000,13.71,0.000,13.60,0.000
64,14.12,0.000,13.80,0.000,13.60,0.000
128,14.06,0.010,13.59,0.010,13.54,0.010
256,15.61,0.015,14.48,0.020,13.45,0.020
512,13.91,0.040,13.55,0.040,13.49,0.040
1024,15.32,0.065,13.51,0.080,13.63,0.075
2048,13.93,0.145,13.82,0.145,13.59,0.150
4096,14.73,0.280,13.36,0.310,13.46,0.305
8192,13.84,0.590,14.29,0.575,13.39,0.610
16384,18.70,0.930,13.36,1.230,13.28,1.230
32768,30.84,1.060,18.58,1.765,16.49,2.035
65536,55.93,1.175,29.73,2.215,26.28,2.625
131072,103.81,1.265,52.52,2.505,47.36,2.910
262144,211.27,1.250,92.84,2.820,87.28,3.155
524288,234.36,2.245,97.50,5.425,86.38,6.160
1048576,365.22,3.840,192.72,5.445,204.85,5.125
2097152,755.08,4.605,407.24,5.150,394.15,5.350
4194304,1367.76,4.820,701.32,5.980,664.76,6.335
8388608,2583.64,4.815,1454.02,5.770,1338.94,6.305
16777216,5285.84,4.555,2865.32,5.855,2687.87,6.265
33554432,10273.61,4.775,5663.31,5.925,5353.91,6.290
67108864,20160.68,4.855,11188.40,6.000,10631.45,6.325
134217728,38885.70,5.015,22334.35,6.010,20918.05,6.440
268435456,76330.90,4.930,41333.40,6.495,40483.60,6.645
536870912,151458.70,5.080,78348.20,6.850,80740.10,6.660
