# provenance: env=sys sha=717b683182 cmd="bash scripts/nccl_h3_longrun_probe.sh (STAMP=20260915T0936)" date=2026-09-15T09:36:01+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC threshold="collapse iff plateau(16M-256M mean) < 3.0 GB/s; stop at 2 collapses"
round,dtype,plat_GBps,avg_GBps,gen4_frac_loaded,sm_max,mem_max,pstates,verdict,file
1,float,7.140,6.848,1.000,2820,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r1.txt
2,half,8.286,8.108,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r2.txt
3,float,7.748,7.537,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r3.txt
4,half,8.392,8.229,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r4.txt
5,float,6.448,6.203,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r5.txt
6,half,6.618,6.560,0.972,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r6.txt
7,float,6.358,5.725,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r7.txt
8,half,6.468,6.443,0.980,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r8.txt
9,float,8.732,8.565,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r9.txt
10,half,9.234,8.919,0.977,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r10.txt
11,float,8.064,7.769,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r11.txt
12,half,5.720,5.565,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r12.txt
13,float,6.218,6.074,0.970,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r13.txt
14,half,6.544,6.262,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r14.txt
15,float,7.252,6.985,0.979,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r15.txt
16,half,7.402,7.338,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r16.txt
17,float,7.498,7.242,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r17.txt
18,half,8.112,7.941,0.979,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r18.txt
19,float,8.056,7.888,0.966,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r19.txt
20,half,6.616,6.321,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r20.txt
21,float,7.654,7.523,0.979,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r21.txt
22,half,8.256,7.980,0.980,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r22.txt
23,float,6.736,6.796,0.969,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r23.txt
24,half,8.220,7.945,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r24.txt
25,float,8.136,7.928,0.966,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r25.txt
26,half,7.860,7.631,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r26.txt
27,float,7.430,7.347,0.980,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r27.txt
28,half,8.194,7.822,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r28.txt
29,float,8.086,7.810,0.980,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r29.txt
30,half,7.434,7.357,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r30.txt
31,float,7.302,7.141,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_float_r31.txt
32,half,7.808,7.517,0.980,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r32.txt
33,float,7.380,6.999,1.000,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r33.txt
34,half,8.526,8.533,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r34.txt
35,float,8.828,8.399,0.976,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r35.txt
36,half,8.238,8.014,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r36.txt
37,float,7.828,7.854,0.967,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r37.txt
38,half,8.244,8.038,1.000,2835,10501,P0|P2,ok,20260915T0936_nccl_h3_half_r38.txt
39,float,7.512,7.464,0.969,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_float_r39.txt
40,half,8.326,8.104,0.978,2835,10501,P0|P2|P5,ok,20260915T0936_nccl_h3_half_r40.txt
