# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_20260915T1151 --region 134217728 --volume 67108864" date=2026-09-15T11:52:01+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 note=nixl=n/a path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=5
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,5,0,0.17512,0.3832,9.4e-05,42.75,67108864,175105,1
A_granularity,contiguous,65536,67108864,1024,5,0,0.174569,0.3844,0.000375,170.48,67108864,174557,1
A_granularity,contiguous,262144,67108864,256,5,0,0.178977,0.375,0.001465,699.13,67108864,178962,1
A_granularity,contiguous,1048576,67108864,64,5,0,0.175302,0.3828,0.005982,2739.1,67108864,175199,1
A_granularity,contiguous,4194304,67108864,16,5,0,0.175969,0.3814,0.023835,10998.07,67108864,175959,1
A_granularity,contiguous,16777216,67108864,4,5,0,0.17862,0.3757,0.093927,44655.06,67108864,178615,1
A_granularity,scattered,16384,67108864,4096,5,0,0.270642,0.248,6.1e-05,66.07,67108864,270635,4096
A_granularity,scattered,65536,67108864,1024,5,0,0.195731,0.3429,0.000335,191.14,67108864,195724,1024
A_granularity,scattered,262144,67108864,256,5,0,0.181416,0.3699,0.001445,708.66,67108864,181411,256
A_granularity,scattered,1048576,67108864,64,5,0,0.180169,0.3725,0.00582,2815.14,67108864,180161,64
A_granularity,scattered,4194304,67108864,16,5,0,0.178908,0.3751,0.023444,11181.77,67108864,178896,16
A_granularity,scattered,16777216,67108864,4,5,0,0.174371,0.3849,0.096216,43592.78,67108864,174367,4
C_merge_switch,contiguous,16384,67108864,4096,5,0,0.17281,0.3883,9.5e-05,42.19,67108864,172795,1
C_merge_switch,contiguous,16384,67108864,4096,5,1,0.251039,0.2673,6.5e-05,61.29,67108864,251032,4096
C_merge_switch,scattered,16384,67108864,4096,5,0,0.2629,0.2553,6.2e-05,64.18,67108864,262892,4096
C_merge_switch,scattered,16384,67108864,4096,5,1,0.259856,0.2583,6.3e-05,63.44,67108864,259848,4096
C_merge_switch,contiguous,1048576,67108864,64,5,0,0.178894,0.3751,0.005861,2795.22,67108864,178882,1
C_merge_switch,contiguous,1048576,67108864,64,5,1,0.179584,0.3737,0.005839,2806.0,67108864,179579,64
C_merge_switch,scattered,1048576,67108864,64,5,0,0.177802,0.3774,0.005897,2778.16,67108864,177798,64
C_merge_switch,scattered,1048576,67108864,64,5,1,0.176106,0.3811,0.005954,2751.65,67108864,176101,64
D_size_sweep,contiguous,16384,8388608,512,5,0,0.022668,0.3701,0.000723,44.27,8388608,22663,1
D_size_sweep,contiguous,16384,33554432,2048,5,0,0.087346,0.3842,0.000188,42.65,33554432,87310,1
D_size_sweep,contiguous,16384,134217728,8192,5,0,0.36183,0.3709,4.5e-05,44.17,134217728,361819,1
