# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1154/baseline --region 134217728 --volume 67108864" date=2026-09-15T11:54:21+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 note=nixl=n/a path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.179843,0.3732,9.1e-05,43.91,67108864,179835,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.173137,0.3876,0.000379,169.08,67108864,173126,1
A_granularity,contiguous,262144,67108864,256,3,0,0.175968,0.3814,0.00149,687.38,67108864,175963,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.177355,0.3784,0.005912,2771.17,67108864,177348,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.176639,0.3799,0.023745,11039.95,67108864,176628,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.170352,0.3939,0.098485,42588.06,67108864,170339,1
A_granularity,scattered,16384,67108864,4096,3,0,0.256375,0.2618,6.4e-05,62.59,67108864,256368,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.198896,0.3374,0.000329,194.23,67108864,198890,1024
A_granularity,scattered,262144,67108864,256,3,0,0.181846,0.369,0.001442,710.34,67108864,181839,256
A_granularity,scattered,1048576,67108864,64,3,0,0.178484,0.376,0.005875,2788.81,67108864,178474,64
A_granularity,scattered,4194304,67108864,16,3,0,0.173825,0.3861,0.024129,10864.06,67108864,173812,16
A_granularity,scattered,16777216,67108864,4,3,0,0.172326,0.3894,0.097357,43081.53,67108864,172311,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.174535,0.3845,9.4e-05,42.61,67108864,174521,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.253058,0.2652,6.5e-05,61.78,67108864,253049,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.249434,0.269,6.6e-05,60.9,67108864,249425,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.255872,0.2623,6.4e-05,62.47,67108864,255865,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.19554,0.3432,0.005362,3055.32,67108864,195534,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.193259,0.3472,0.005426,3019.67,67108864,193253,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.185021,0.3627,0.005667,2890.96,67108864,185006,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.185125,0.3625,0.005664,2892.58,67108864,185117,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.023364,0.359,0.000701,45.63,8388608,23360,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.092078,0.3644,0.000178,44.96,33554432,92072,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.369471,0.3633,4.4e-05,45.1,134217728,369460,1
