# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1207/baseline --region 134217728 --volume 67108864" date=2026-09-15T12:07:32+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 ucx_tls=(unset) path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3 xfer_timeout=20.0
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.186279,0.3603,8.8e-05,45.48,67108864,186266,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.181828,0.3691,0.00036,177.57,67108864,181813,1
A_granularity,contiguous,262144,67108864,256,3,0,0.183735,0.3652,0.001427,717.71,67108864,183727,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.189375,0.3544,0.005537,2958.98,67108864,189364,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.195845,0.3427,0.021416,12240.29,67108864,195827,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.176234,0.3808,0.095199,44058.4,67108864,176220,1
A_granularity,scattered,16384,67108864,4096,3,0,0.262603,0.2556,6.2e-05,64.11,67108864,262592,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.196864,0.3409,0.000333,192.25,67108864,196854,1024
A_granularity,scattered,262144,67108864,256,3,0,0.188391,0.3562,0.001391,735.9,67108864,188375,256
A_granularity,scattered,1048576,67108864,64,3,0,0.183328,0.3661,0.00572,2864.5,67108864,183321,64
A_granularity,scattered,4194304,67108864,16,3,0,0.188135,0.3567,0.022294,11758.46,67108864,188110,16
A_granularity,scattered,16777216,67108864,4,3,0,0.190803,0.3517,0.087929,47700.8,67108864,190796,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.182694,0.3673,9e-05,44.6,67108864,182685,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.266653,0.2517,6.1e-05,65.1,67108864,266643,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.247989,0.2706,6.6e-05,60.54,67108864,247974,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.259906,0.2582,6.3e-05,63.45,67108864,259896,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.189777,0.3536,0.005525,2965.27,67108864,189764,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.191991,0.3495,0.005462,2999.85,67108864,191975,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.175118,0.3832,0.005988,2736.23,67108864,175110,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.19141,0.3506,0.005478,2990.78,67108864,191401,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.023503,0.3569,0.000697,45.9,8388608,23490,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.088016,0.3812,0.000186,42.98,33554432,88005,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.357147,0.3758,4.6e-05,43.6,134217728,357139,1
