# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1219/bench/baseline --region 134217728 --volume 67108864" date=2026-09-15T12:24:11+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 ucx_tls=(unset) path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3 xfer_timeout=20.0
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.171233,0.3919,9.6e-05,41.8,67108864,171223,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.171708,0.3908,0.000382,167.68,67108864,171699,1
A_granularity,contiguous,262144,67108864,256,3,0,0.172098,0.3899,0.001523,672.26,67108864,172093,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.174523,0.3845,0.006008,2726.93,67108864,174513,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.174669,0.3842,0.024013,10916.81,67108864,174666,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.179404,0.3741,0.093516,44850.95,67108864,179390,1
A_granularity,scattered,16384,67108864,4096,3,0,0.26373,0.2545,6.2e-05,64.39,67108864,263724,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.203994,0.329,0.000321,199.21,67108864,203986,1024
A_granularity,scattered,262144,67108864,256,3,0,0.178422,0.3761,0.001469,696.96,67108864,178416,256
A_granularity,scattered,1048576,67108864,64,3,0,0.174788,0.3839,0.005999,2731.05,67108864,174784,64
A_granularity,scattered,4194304,67108864,16,3,0,0.172816,0.3883,0.02427,10800.97,67108864,172803,16
A_granularity,scattered,16777216,67108864,4,3,0,0.172233,0.3896,0.09741,43058.14,67108864,172223,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.170699,0.3931,9.6e-05,41.67,67108864,170688,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.251565,0.2668,6.5e-05,61.42,67108864,251559,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.241305,0.2781,6.8e-05,58.91,67108864,241298,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.247099,0.2716,6.6e-05,60.33,67108864,247089,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.179581,0.3737,0.005839,2805.95,67108864,179570,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.178318,0.3763,0.00588,2786.21,67108864,178310,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.180204,0.3724,0.005819,2815.69,67108864,180199,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.17795,0.3771,0.005893,2780.47,67108864,177945,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.022214,0.3776,0.000738,43.39,8388608,22209,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.086925,0.386,0.000188,42.44,33554432,86914,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.348444,0.3852,4.7e-05,42.53,134217728,348436,1
