# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1228/bench/all --region 134217728 --volume 67108864" date=2026-09-15T12:35:49+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 ucx_tls=all path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3 xfer_timeout=20.0
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.179942,0.3729,9.1e-05,43.93,67108864,179933,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.188569,0.3559,0.000348,184.15,67108864,188562,1
A_granularity,contiguous,262144,67108864,256,3,0,0.180507,0.3718,0.001452,705.1,67108864,180500,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.176076,0.3811,0.005955,2751.19,67108864,176064,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.174398,0.3848,0.02405,10899.87,67108864,174391,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.172654,0.3887,0.097173,43163.44,67108864,172641,1
A_granularity,scattered,16384,67108864,4096,3,0,0.262684,0.2555,6.2e-05,64.13,67108864,262676,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.188538,0.3559,0.000348,184.12,67108864,188531,1024
A_granularity,scattered,262144,67108864,256,3,0,0.181533,0.3697,0.001444,709.11,67108864,181521,256
A_granularity,scattered,1048576,67108864,64,3,0,0.172571,0.3889,0.006076,2696.43,67108864,172563,64
A_granularity,scattered,4194304,67108864,16,3,0,0.176606,0.38,0.023749,11037.88,67108864,176573,16
A_granularity,scattered,16777216,67108864,4,3,0,0.176263,0.3807,0.095183,44065.68,67108864,176254,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.171433,0.3915,9.6e-05,41.85,67108864,171424,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.25196,0.2663,6.5e-05,61.51,67108864,251953,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.252517,0.2658,6.5e-05,61.65,67108864,252510,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.255579,0.2626,6.4e-05,62.4,67108864,255572,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.17344,0.3869,0.006046,2710.0,67108864,173433,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.1734,0.387,0.006047,2709.37,67108864,173393,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.175125,0.3832,0.005988,2736.33,67108864,175119,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.171809,0.3906,0.006103,2684.51,67108864,171802,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.021665,0.3872,0.000756,42.32,8388608,21659,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.085271,0.3935,0.000192,41.64,33554432,85263,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.34978,0.3837,4.7e-05,42.7,134217728,349763,1
