# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1228/bench/tcp_cuda_copy --region 134217728 --volume 67108864" date=2026-09-15T12:36:09+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 ucx_tls=cuda_copy,tcp path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3 xfer_timeout=20.0
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.17633,0.3806,9.3e-05,43.05,67108864,176315,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.172232,0.3896,0.000381,168.2,67108864,172221,1
A_granularity,contiguous,262144,67108864,256,3,0,0.169981,0.3948,0.001542,663.99,67108864,169977,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.175605,0.3822,0.005971,2743.84,67108864,175588,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.178212,0.3766,0.023535,11138.27,67108864,178199,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.17061,0.3933,0.098337,42652.4,67108864,170601,1
A_granularity,scattered,16384,67108864,4096,3,0,0.263636,0.2546,6.2e-05,64.36,67108864,263629,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.190173,0.3529,0.000345,185.72,67108864,190166,1024
A_granularity,scattered,262144,67108864,256,3,0,0.185665,0.3615,0.001412,725.25,67108864,185653,256
A_granularity,scattered,1048576,67108864,64,3,0,0.179482,0.3739,0.005842,2804.4,67108864,179469,64
A_granularity,scattered,4194304,67108864,16,3,0,0.179379,0.3741,0.023382,11211.21,67108864,179374,16
A_granularity,scattered,16777216,67108864,4,3,0,0.17026,0.3942,0.098539,42565.09,67108864,170249,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.168546,0.3982,9.7e-05,41.15,67108864,168533,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.249101,0.2694,6.6e-05,60.82,67108864,249094,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.24686,0.2719,6.6e-05,60.27,67108864,246851,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.252414,0.2659,6.5e-05,61.62,67108864,252407,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.177662,0.3777,0.005902,2775.98,67108864,177657,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.179195,0.3745,0.005852,2799.92,67108864,179190,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.180276,0.3723,0.005816,2816.81,67108864,180270,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.171102,0.3922,0.006128,2673.46,67108864,171091,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.021142,0.3968,0.000775,41.29,8388608,21131,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.085282,0.3935,0.000192,41.64,33554432,85276,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.337962,0.3971,4.8e-05,41.26,134217728,337949,1
