# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1228/bench/tcp_cuda_ipc_cuda_copy --region 134217728 --volume 67108864" date=2026-09-15T12:36:31+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 ucx_tls=cuda_ipc,cuda_copy,tcp path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3 xfer_timeout=20.0
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.1859,0.361,8.8e-05,45.39,67108864,185886,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.187593,0.3577,0.000349,183.2,67108864,187583,1
A_granularity,contiguous,262144,67108864,256,3,0,0.186516,0.3598,0.001405,728.58,67108864,186510,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.187404,0.3581,0.005595,2928.19,67108864,187387,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.177826,0.3774,0.023587,11114.11,67108864,177816,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.178745,0.3754,0.093861,44686.21,67108864,178737,1
A_granularity,scattered,16384,67108864,4096,3,0,0.26683,0.2515,6.1e-05,65.14,67108864,266823,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.197958,0.339,0.000331,193.32,67108864,197952,1024
A_granularity,scattered,262144,67108864,256,3,0,0.180399,0.372,0.001453,704.68,67108864,180387,256
A_granularity,scattered,1048576,67108864,64,3,0,0.176631,0.3799,0.005937,2759.86,67108864,176626,64
A_granularity,scattered,4194304,67108864,16,3,0,0.176544,0.3801,0.023758,11034.0,67108864,176537,16
A_granularity,scattered,16777216,67108864,4,3,0,0.175978,0.3813,0.095337,43994.53,67108864,175973,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.174634,0.3843,9.4e-05,42.64,67108864,174624,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.254797,0.2634,6.4e-05,62.21,67108864,254790,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.260793,0.2573,6.3e-05,63.67,67108864,260787,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.255322,0.2628,6.4e-05,62.33,67108864,255315,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.176511,0.3802,0.005941,2757.99,67108864,176506,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.174713,0.3841,0.006002,2729.89,67108864,174708,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.176962,0.3792,0.005925,2765.03,67108864,176957,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.178105,0.3768,0.005887,2782.89,67108864,178098,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.02332,0.3597,0.000703,45.55,8388608,23308,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.094759,0.3541,0.000173,46.27,33554432,94750,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.375045,0.3579,4.4e-05,45.78,134217728,375032,1
