# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_transport_20260915T1153 --region 16777216 --volume 8388608" date=2026-09-15T11:53:18+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 note=nixl=n/a path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=5
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,8388608,512,5,0,0.024283,0.3455,0.000675,47.43,8388608,24276,1
A_granularity,contiguous,65536,8388608,128,5,0,0.023771,0.3529,0.002757,185.71,8388608,23765,1
A_granularity,contiguous,262144,8388608,32,5,0,0.022569,0.3717,0.011615,705.29,8388608,22553,1
A_granularity,contiguous,1048576,8388608,8,5,0,0.022621,0.3708,0.046353,2827.67,8388608,22607,1
A_granularity,contiguous,4194304,8388608,2,5,0,0.022175,0.3783,0.189142,11087.69,8388608,22170,1
A_granularity,scattered,16384,8388608,512,5,0,0.03179,0.2639,0.000515,62.09,8388608,31785,512
A_granularity,scattered,65536,8388608,128,5,0,0.024303,0.3452,0.002697,189.87,8388608,24300,128
A_granularity,scattered,262144,8388608,32,5,0,0.021923,0.3826,0.011958,685.09,8388608,21913,32
A_granularity,scattered,1048576,8388608,8,5,0,0.021708,0.3864,0.048304,2713.47,8388608,21699,8
A_granularity,scattered,4194304,8388608,2,5,0,0.021749,0.3857,0.192847,10874.72,8388608,21745,2
C_merge_switch,contiguous,16384,8388608,512,5,0,0.021356,0.3928,0.000767,41.71,8388608,21351,1
C_merge_switch,contiguous,16384,8388608,512,5,1,0.031033,0.2703,0.000528,60.61,8388608,31028,512
C_merge_switch,scattered,16384,8388608,512,5,0,0.030598,0.2742,0.000535,59.76,8388608,30588,512
C_merge_switch,scattered,16384,8388608,512,5,1,0.031935,0.2627,0.000513,62.37,8388608,31924,512
C_merge_switch,contiguous,1048576,8388608,8,5,0,0.022445,0.3737,0.046717,2805.63,8388608,22439,1
C_merge_switch,contiguous,1048576,8388608,8,5,1,0.0217,0.3866,0.048322,2712.5,8388608,21689,8
C_merge_switch,scattered,1048576,8388608,8,5,0,0.021908,0.3829,0.047863,2738.5,8388608,21904,8
C_merge_switch,scattered,1048576,8388608,8,5,1,0.021552,0.3892,0.048653,2694.02,8388608,21547,8
D_size_sweep,contiguous,16384,8388608,512,5,0,0.02162,0.388,0.000758,42.23,8388608,21611,1
