-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     708.095ms      1200.26%     708.095ms      22.842ms            31  
                   execute_context_1(4)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     105.032ms       178.03%     105.032ms     105.032ms             1  
                                               aten::mm         6.05%      53.153ms        10.67%      93.781ms      40.146us      38.212ms        64.77%      38.788ms      16.605us          2336  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.364ms        58.25%      34.364ms      22.608us          1520  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       6.059ms        10.27%       6.059ms       4.072us          1488  
                                _vllm_fa2_C::varlen_fwd         2.68%      23.528ms         8.82%      77.517ms     100.934us       5.389ms         9.14%       6.155ms       8.015us           768  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       5.213ms         8.84%       5.213ms       7.007us           744  
                                            aten::addmm         2.52%      22.153ms         3.33%      29.239ms      38.071us       3.369ms         5.71%       3.380ms       4.402us           768  
                                 _C::fused_add_rms_norm         1.61%      14.125ms         3.02%      26.511ms      17.260us       2.588ms         4.39%       2.588ms       1.685us          1536  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us       2.588ms         4.39%       2.588ms       1.685us          1536  
                                         aten::_softmax         0.05%     427.072us         0.07%     658.841us      20.589us       1.657ms         2.81%       1.657ms      51.771us            32  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.657ms         2.81%       1.657ms      51.771us            32  
                                       _C::silu_and_mul         0.66%       5.763ms         1.39%      12.234ms      15.930us       1.393ms         2.36%       1.393ms       1.813us           768  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       1.393ms         2.36%       1.393ms       1.813us           768  
                  _C_cache_ops::reshape_and_cache_flash         0.89%       7.787ms         1.78%      15.644ms      20.370us       1.320ms         2.24%       1.320ms       1.719us           768  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.320ms         2.24%       1.320ms       1.719us           768  
                                   _C::rotary_embedding         0.88%       7.740ms         1.64%      14.406ms      18.758us       1.224ms         2.07%       1.224ms       1.594us           768  
