"# source: runs.jsonl (protocol v2, seed-per-point, 84 gated points) · 2×RTX4090 · vLLM 0.25.1"
arm,input_len,mode,offered_rps,goodput_rps,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,gpu_seconds_per_request,gpu_count,run_id
colocate,512,attribution,,,65.38850400829688,92.91088276077066,15.86324911024678,2.082,1,20260821T1756_colocate_512x128_attribution
colocate,512,saturation,,,665.6927090079989,3217.682773581473,38.620315744233594,0.097,1,20260821T1801_colocate_512x128_saturation
colocate,512,sweep,5.2,5.0156,102.10982049466111,264.6421441214625,23.14111155111299,0.199,1,20260821T1805_colocate_512x128_sweep_rps5.2
colocate,512,sweep,7.8,7.3207,125.91603951295838,337.39433899871074,28.507709649609637,0.135,1,20260821T1807_colocate_512x128_sweep_rps7.8
colocate,512,sweep,9.3,8.5727,148.79172699875198,344.5984637283255,34.03056020858536,0.115,1,20260821T1808_colocate_512x128_sweep_rps9.3
colocate,512,sweep,10.9,5.9577,184.51415150775574,418.7287403701339,44.511797736393376,0.099,1,20260821T1809_colocate_512x128_sweep_rps10.9
colocate,2048,attribution,,,224.84797998913564,247.4305759498384,15.93279375215281,2.249,1,20260821T1757_colocate_2048x128_attribution
colocate,2048,saturation,,,1833.6909229983576,15176.653957180108,114.79569131491971,0.276,1,20260821T1802_colocate_2048x128_saturation
colocate,2048,sweep,1.8,1.713,279.79801149922423,834.4770358083771,25.461845039426695,0.569,1,20260821T1810_colocate_2048x128_sweep_rps1.8
colocate,2048,sweep,2.7,2.4095,414.51365148532204,1086.7817787872627,35.433108027379106,0.383,1,20260821T1814_colocate_2048x128_sweep_rps2.7
colocate,2048,sweep,3.3,1.2193,840.2509865409229,2689.365037766984,50.151035496020896,0.32,1,20260821T1816_colocate_2048x128_sweep_rps3.3
colocate,2048,sweep,3.8,0.3499,1279.6903140260838,3717.8120778454468,110.01659523627875,0.298,1,20260821T1817_colocate_2048x128_sweep_rps3.8
colocate,8192,attribution,,,925.208896456752,942.7525685081491,16.35551411410112,3.002,1,20260821T1759_colocate_8192x128_attribution
colocate,8192,saturation,,,34434.09929299378,68189.82359724236,117.43670662976874,1.111,1,20260821T1803_colocate_8192x128_saturation
colocate,8192,sweep,0.45,0.3606,1163.9255295158364,2861.9551043579145,29.317537417514323,2.278,1,20260821T1819_colocate_8192x128_sweep_rps0.45
colocate,8192,sweep,0.68,0.4289,1310.6576440040953,3865.865324405605,40.81358365356137,1.54,1,20260821T1821_colocate_8192x128_sweep_rps0.68
colocate,8192,sweep,0.81,0.303,1531.1958419915754,4414.172622229673,57.81616030721999,1.296,1,20260821T1823_colocate_8192x128_sweep_rps0.81
colocate,8192,sweep,0.95,0.0611,2320.3042459790595,7059.656784828987,89.9159518580638,1.17,1,20260821T1825_colocate_8192x128_sweep_rps0.95
colocate_v0171,512,attribution,,,66.36656247428618,225.84546907979558,15.995403366047874,2.105,1,20260821T2044_colocate_v0171_512x128_attribution
colocate_v0171,512,saturation,,,795.6632419954985,11814.679865353974,37.76046456278698,0.14,1,20260821T2049_colocate_v0171_512x128_saturation
colocate_v0171,2048,attribution,,,225.40183999808505,233.25524440326262,16.07168266159211,2.266,1,20260821T2045_colocate_v0171_2048x128_attribution
colocate_v0171,2048,saturation,,,3797.8794105001725,15852.657615866046,100.14333459846566,0.279,1,20260821T2050_colocate_v0171_2048x128_saturation
colocate_v0171,8192,attribution,,,929.6011819969863,951.666625670623,16.466013263813842,3.021,1,20260821T2047_colocate_v0171_8192x128_attribution
colocate_v0171,8192,saturation,,,34561.13953999011,68371.57148111727,103.77814001188335,1.12,1,20260821T2051_colocate_v0171_8192x128_saturation
moe30b_w4a16_tp2ep,512,attribution,,,71.47186750080436,85.11044840910475,4.9273184962171,1.397,2,20260821T2126_moe30b_w4a16_tp2ep_512x128_attribution
moe30b_w4a16_tp2ep,512,saturation,,,853.0074764858,3482.2532854089513,41.380415519554624,0.2,2,20260821T2126_moe30b_w4a16_tp2ep_512x128_saturation
moe_tp2ep,512,attribution,,,56.025092490017414,64.26814474980348,4.620994598417741,1.288,2,20260821T2059_moe_tp2ep_512x128_attribution
moe_tp2ep,512,saturation,,,490.2311970072333,2733.4498787100893,35.87409487410309,0.174,2,20260821T2100_moe_tp2ep_512x128_saturation
moe_tp2ep,2048,attribution,,,149.65119597036391,167.00297884643078,5.656000897499153,1.737,2,20260821T2100_moe_tp2ep_2048x128_attribution
pd1p1d,512,attribution,,,219.31171551113948,482.445922128391,15.851970429039069,4.491,2,20260821T1951_pd1p1d_512x128_attribution
pd1p1d,512,saturation,,,5832.71501850686,9962.688737522694,19.533863094750807,0.255,2,20260821T1957_pd1p1d_512x128_saturation
pd1p1d,512,sweep,5.2,1.5939,394.25156646757387,1263.7771680677542,16.748197909305237,0.4,2,20260821T2001_pd1p1d_512x128_sweep_rps5.2
pd1p1d,512,sweep,7.4,0.5191,848.055372480303,2010.568408452091,17.659942185007562,0.289,2,20260821T2006_pd1p1d_512x128_sweep_rps7.4
pd1p1d,512,sweep,7.8,0.3231,1396.0154785017949,4161.8532639648765,18.00312154709112,0.271,2,20260821T2003_pd1p1d_512x128_sweep_rps7.8
pd1p1d,512,sweep,9.3,0.0,3627.2865044884384,8613.28682351159,18.12107242894997,0.249,2,20260821T2004_pd1p1d_512x128_sweep_rps9.3
pd1p1d,512,sweep,10.9,0.099,11697.884885972599,17284.600608979817,17.91464451583117,0.252,2,20260821T2005_pd1p1d_512x128_sweep_rps10.9
pd1p1d,2048,attribution,,,718.6428419663571,751.7866383335786,15.934519669339869,5.488,2,20260821T1952_pd1p1d_2048x128_attribution
pd1p1d,2048,saturation,,,22722.01789545943,40144.206135298016,17.84205040963198,0.942,2,20260821T1958_pd1p1d_2048x128_saturation
pd1p1d,2048,sweep,1.8,0.161,2611.624077981105,11705.024476816761,16.705474704889006,1.165,2,20260821T2007_pd1p1d_2048x128_sweep_rps1.8
pd1p1d,2048,sweep,2.0,0.0803,2508.4175715164747,6138.334691291675,16.708657397809766,1.037,2,20260821T2009_pd1p1d_2048x128_sweep_rps2.0
pd1p1d,2048,sweep,2.7,0.0,21574.633961514337,32213.474238526545,16.874753299451573,0.951,2,20260821T2011_pd1p1d_2048x128_sweep_rps2.7
pd1p1d,2048,sweep,3.3,0.0,34992.669767001644,51674.42139340099,17.55767562985787,1.03,2,20260821T2013_pd1p1d_2048x128_sweep_rps3.3
pd1p1d,2048,sweep,3.8,0.0115,29400.467642000876,43041.83246513945,18.939843004171586,0.907,2,20260821T2015_pd1p1d_2048x128_sweep_rps3.8
pd1p1d,8192,attribution,,,2718.7354680208955,2777.924202432623,16.346162334717,9.592,2,20260821T1954_pd1p1d_8192x128_attribution
pd1p1d,8192,saturation,,,59683.98537999019,86217.90022076864,18.862185649817633,3.703,2,20260821T1959_pd1p1d_8192x128_saturation
pd1p1d,8192,sweep,0.45,0.1075,7447.297584498301,14912.158675515095,16.991431208411743,4.653,2,20260821T2017_pd1p1d_8192x128_sweep_rps0.45
pd1p1d,8192,sweep,0.5,0.0767,8206.180962006329,22036.413235455984,17.177547704919764,4.191,2,20260821T2020_pd1p1d_8192x128_sweep_rps0.50
pd1p1d,8192,sweep,0.68,0.0096,30121.098337491276,37629.41299047671,17.850161869927696,3.735,2,20260821T2022_pd1p1d_8192x128_sweep_rps0.68
pd1p1d,8192,sweep,0.81,0.0095,33027.44123147568,48727.26620331523,17.661231263782682,3.75,2,20260821T2024_pd1p1d_8192x128_sweep_rps0.81
pd1p1d,8192,sweep,0.95,0.0,39921.76960001234,55147.37838519505,18.03891780336138,3.76,2,20260821T2027_pd1p1d_8192x128_sweep_rps0.95
pd1p1d_push,512,attribution,,,210.36082450882532,245.69953332829758,15.852676440987326,4.452,2,20260822T1002_pd1p1d_push_512x128_attribution
pd1p1d_push,8192,attribution,,,2537.06194148981,2596.189388121129,16.349642279266384,9.219,2,20260822T1003_pd1p1d_push_8192x128_attribution
replica2,512,attribution,,,66.19254403631203,110.04375028365757,15.86645410243077,4.17,2,20260821T1828_replica2_512x128_attribution
replica2,512,saturation,,,611.4152950176504,1637.686563528259,25.435954594515323,0.128,2,20260821T1834_replica2_512x128_saturation
replica2,512,sweep,5.2,5.0242,95.50439650774933,125.55443650693634,18.32069133868529,0.398,2,20260821T1837_replica2_512x128_sweep_rps5.2
replica2,512,sweep,7.8,7.415,98.48240698920563,137.85555578477215,19.877633019845465,0.27,2,20260821T1839_replica2_512x128_sweep_rps7.8
replica2,512,sweep,9.3,8.7508,100.4372840106953,155.37833423062693,21.130354310968876,0.229,2,20260821T1840_replica2_512x128_sweep_rps9.3
replica2,512,sweep,10.9,10.1504,103.57227450003847,147.59203877300024,22.24755131109713,0.197,2,20260821T1841_replica2_512x128_sweep_rps10.9
replica2,512,sweep,11.7,10.8108,105.46158350189216,165.85590205504562,23.260886531587193,0.185,2,20260821T1842_replica2_512x128_sweep_rps11.7
replica2,512,sweep,14.0,12.7465,113.55482751969248,214.39866535540204,26.231697499962873,0.157,2,20260821T1842_replica2_512x128_sweep_rps14.0
replica2,2048,attribution,,,220.6853985262569,229.02110601891764,15.932947999933427,4.489,2,20260821T1829_replica2_2048x128_attribution
replica2,2048,saturation,,,823.7225969787687,6508.076965648796,60.02438111793558,0.286,2,20260821T1835_replica2_2048x128_saturation
replica2,2048,sweep,1.8,1.7613,260.9015494817868,362.30528013198636,19.314333889770918,1.136,2,20260821T1843_replica2_2048x128_sweep_rps1.8
replica2,2048,sweep,2.7,2.6148,268.18079003714956,465.67658551328356,21.169197429374854,0.765,2,20260821T1845_replica2_2048x128_sweep_rps2.7
replica2,2048,sweep,3.3,3.1713,272.1521569765173,649.1247616434704,22.748370649381062,0.631,2,20260821T1847_replica2_2048x128_sweep_rps3.3
replica2,2048,sweep,3.8,3.6268,271.7732265009545,598.5383264871781,26.032633350256422,0.551,2,20260821T1849_replica2_2048x128_sweep_rps3.8
replica2,2048,sweep,5.3,4.9627,284.1103069949895,721.9985874334817,33.68645321255124,0.403,2,20260821T1851_replica2_2048x128_sweep_rps5.3
replica2,2048,sweep,6.3,3.9014,352.24828351056203,794.0185389918043,43.30134787413431,0.347,2,20260821T1852_replica2_2048x128_sweep_rps6.3
replica2,8192,attribution,,,902.5709449779242,922.4389056721702,16.34926901187007,5.959,2,20260821T1831_replica2_8192x128_attribution
replica2,8192,saturation,,,19492.2016505152,33877.50422775861,115.87633614178094,1.126,2,20260821T1836_replica2_8192x128_saturation
replica2,8192,sweep,0.45,0.4396,915.9593470103573,1292.022421519505,16.9704928858972,4.55,2,20260821T1854_replica2_8192x128_sweep_rps0.45
replica2,8192,sweep,0.68,0.6562,958.8095550134312,1335.132371648798,22.913282122059663,3.048,2,20260821T1856_replica2_8192x128_sweep_rps0.68
replica2,8192,sweep,0.81,0.7752,974.5237255119719,1431.0622562479696,23.08498498411688,2.58,2,20260821T1858_replica2_8192x128_sweep_rps0.81
replica2,8192,sweep,0.95,0.9022,976.2277785048354,1432.699227804551,23.721550067191885,2.217,2,20260821T1900_replica2_8192x128_sweep_rps0.95
replica2,8192,sweep,1.33,0.7948,1056.8062190141063,1715.9094925853428,42.078801086557455,1.618,2,20260821T1901_replica2_8192x128_sweep_rps1.33
replica2,8192,sweep,1.6,0.5714,1120.4643634846434,2992.7397494175248,55.774320492165266,1.375,2,20260821T1902_replica2_8192x128_sweep_rps1.6
tp2,512,attribution,,,64.01367048965767,94.26194021361884,9.256141054935343,2.483,2,20260821T1913_tp2_512x128_attribution
