0, 46, 2520 MHz, 64.06 W, 0x0000000000000000
1, 26, 210 MHz, 13.69 W, 0x0000000000000001
0, 44, 420 MHz, 54.99 W, 0x0000000000000001
1, 26, 210 MHz, 13.69 W, 0x0000000000000001
0, 44, 210 MHz, 25.03 W, 0x0000000000000001
1, 26, 210 MHz, 13.65 W, 0x0000000000000001
0, 43, 210 MHz, 23.36 W, 0x0000000000000001
1, 26, 210 MHz, 14.01 W, 0x0000000000000001
0, 43, 210 MHz, 22.32 W, 0x0000000000000001
1, 26, 210 MHz, 14.28 W, 0x0000000000000001
0, 42, 210 MHz, 22.76 W, 0x0000000000000001
1, 26, 210 MHz, 13.85 W, 0x0000000000000001
0, 42, 210 MHz, 21.13 W, 0x0000000000000001
1, 26, 210 MHz, 13.97 W, 0x0000000000000001
0, 41, 210 MHz, 20.41 W, 0x0000000000000001
1, 26, 210 MHz, 13.80 W, 0x0000000000000001
0, 41, 210 MHz, 20.75 W, 0x0000000000000001
1, 26, 210 MHz, 13.92 W, 0x0000000000000001
0, 41, 210 MHz, 20.08 W, 0x0000000000000001
1, 26, 210 MHz, 13.58 W, 0x0000000000000001
0, 51, 2805 MHz, 328.03 W, 0x0000000000000000
1, 26, 210 MHz, 13.60 W, 0x0000000000000001
0, 57, 2355 MHz, 454.22 W, 0x0000000000000004
1, 26, 210 MHz, 14.27 W, 0x0000000000000001
0, 58, 2415 MHz, 447.61 W, 0x0000000000000004
1, 26, 210 MHz, 14.16 W, 0x0000000000000001
0, 60, 2460 MHz, 450.08 W, 0x0000000000000004
1, 26, 210 MHz, 14.27 W, 0x0000000000000001
0, 60, 2445 MHz, 450.04 W, 0x0000000000000004
1, 26, 210 MHz, 14.05 W, 0x0000000000000001
0, 61, 2385 MHz, 451.13 W, 0x0000000000000004
1, 26, 210 MHz, 14.17 W, 0x0000000000000001
0, 62, 2430 MHz, 448.59 W, 0x0000000000000004
1, 26, 210 MHz, 14.22 W, 0x0000000000000001
0, 58, 2805 MHz, 422.73 W, 0x0000000000000000
1, 26, 210 MHz, 14.23 W, 0x0000000000000001
0, 62, 2370 MHz, 446.73 W, 0x0000000000000004
1, 26, 210 MHz, 14.54 W, 0x0000000000000001
0, 63, 2460 MHz, 430.59 W, 0x0000000000000004
1, 26, 210 MHz, 14.17 W, 0x0000000000000001
0, 58, 2805 MHz, 389.90 W, 0x0000000000000000
1, 26, 210 MHz, 14.45 W, 0x0000000000000001
0, 64, 2385 MHz, 449.21 W, 0x0000000000000004
1, 26, 210 MHz, 14.68 W, 0x0000000000000001
0, 60, 2805 MHz, 448.85 W, 0x0000000000000000
1, 26, 210 MHz, 14.51 W, 0x0000000000000001
0, 65, 2445 MHz, 453.56 W, 0x0000000000000004
1, 26, 210 MHz, 14.37 W, 0x0000000000000001
0, 65, 2445 MHz, 439.07 W, 0x0000000000000004
1, 26, 210 MHz, 14.34 W, 0x0000000000000001
0, 60, 2805 MHz, 402.75 W, 0x0000000000000000
1, 26, 210 MHz, 14.43 W, 0x0000000000000001
0, 60, 2805 MHz, 439.48 W, 0x0000000000000000
1, 26, 210 MHz, 14.52 W, 0x0000000000000001
0, 65, 2340 MHz, 458.07 W, 0x0000000000000004
1, 26, 210 MHz, 14.62 W, 0x0000000000000001
0, 65, 2385 MHz, 449.76 W, 0x0000000000000004
1, 26, 210 MHz, 14.59 W, 0x0000000000000001
0, 66, 2385 MHz, 449.95 W, 0x0000000000000004
1, 26, 210 MHz, 14.11 W, 0x0000000000000001
0, 66, 2340 MHz, 449.73 W, 0x0000000000000004
1, 26, 210 MHz, 13.87 W, 0x0000000000000001
0, 65, 2325 MHz, 449.92 W, 0x0000000000000004
1, 26, 210 MHz, 14.08 W, 0x0000000000000001
0, 65, 2340 MHz, 448.57 W, 0x0000000000000004
1, 26, 210 MHz, 14.04 W, 0x0000000000000001
0, 65, 2340 MHz, 449.15 W, 0x0000000000000004
1, 26, 210 MHz, 14.02 W, 0x0000000000000001
0, 65, 2370 MHz, 454.59 W, 0x0000000000000004
1, 26, 210 MHz, 14.00 W, 0x0000000000000001
0, 66, 2430 MHz, 443.61 W, 0x0000000000000004
1, 26, 210 MHz, 13.99 W, 0x0000000000000001
0, 66, 2355 MHz, 451.56 W, 0x0000000000000004
1, 26, 210 MHz, 14.14 W, 0x0000000000000001
0, 66, 2310 MHz, 450.29 W, 0x0000000000000004
1, 26, 210 MHz, 13.80 W, 0x0000000000000001
0, 62, 2790 MHz, 442.41 W, 0x0000000000000000
1, 26, 210 MHz, 13.62 W, 0x0000000000000001
0, 57, 2805 MHz, 370.57 W, 0x0000000000000000
1, 26, 210 MHz, 14.13 W, 0x0000000000000001
0, 66, 2400 MHz, 454.03 W, 0x0000000000000004
1, 26, 210 MHz, 13.87 W, 0x0000000000000001
0, 65, 2355 MHz, 447.65 W, 0x0000000000000004
1, 26, 210 MHz, 13.82 W, 0x0000000000000001
0, 66, 2355 MHz, 450.41 W, 0x0000000000000004
1, 26, 210 MHz, 13.90 W, 0x0000000000000001
0, 56, 2805 MHz, 370.11 W, 0x0000000000000000
1, 26, 210 MHz, 14.18 W, 0x0000000000000001
