0, 52, 2805 MHz, 98.04 W, 0x0000000000000000
1, 27, 210 MHz, 14.38 W, 0x0000000000000001
0, 50, 2520 MHz, 77.58 W, 0x0000000000000000
1, 27, 210 MHz, 14.19 W, 0x0000000000000001
0, 49, 2520 MHz, 69.77 W, 0x0000000000000000
1, 27, 210 MHz, 14.18 W, 0x0000000000000001
0, 48, 2520 MHz, 68.36 W, 0x0000000000000000
1, 27, 210 MHz, 14.43 W, 0x0000000000000001
0, 47, 2520 MHz, 66.24 W, 0x0000000000000000
1, 27, 210 MHz, 14.43 W, 0x0000000000000001
0, 47, 2520 MHz, 64.72 W, 0x0000000000000000
1, 27, 210 MHz, 14.56 W, 0x0000000000000001
0, 46, 2520 MHz, 64.05 W, 0x0000000000000000
1, 27, 210 MHz, 14.39 W, 0x0000000000000001
0, 45, 510 MHz, 62.68 W, 0x0000000000000001
1, 27, 210 MHz, 14.17 W, 0x0000000000000001
0, 44, 210 MHz, 25.46 W, 0x0000000000000001
1, 27, 210 MHz, 14.39 W, 0x0000000000000001
0, 44, 210 MHz, 20.37 W, 0x0000000000000001
1, 27, 210 MHz, 14.26 W, 0x0000000000000001
0, 55, 2610 MHz, 61.09 W, 0x0000000000000004
1, 27, 210 MHz, 14.10 W, 0x0000000000000001
0, 60, 2430 MHz, 452.35 W, 0x0000000000000004
1, 27, 210 MHz, 14.50 W, 0x0000000000000001
0, 61, 2400 MHz, 451.25 W, 0x0000000000000004
1, 27, 210 MHz, 14.73 W, 0x0000000000000001
0, 61, 2430 MHz, 449.62 W, 0x0000000000000004
1, 27, 210 MHz, 14.86 W, 0x0000000000000001
0, 62, 2370 MHz, 449.21 W, 0x0000000000000004
1, 27, 210 MHz, 14.84 W, 0x0000000000000001
0, 61, 2805 MHz, 444.48 W, 0x0000000000000000
1, 27, 210 MHz, 14.85 W, 0x0000000000000001
0, 63, 2385 MHz, 446.26 W, 0x0000000000000004
1, 27, 210 MHz, 15.13 W, 0x0000000000000001
0, 64, 2355 MHz, 450.17 W, 0x0000000000000004
1, 27, 210 MHz, 14.84 W, 0x0000000000000001
0, 65, 2355 MHz, 449.82 W, 0x0000000000000004
1, 28, 210 MHz, 14.54 W, 0x0000000000000001
0, 65, 2340 MHz, 450.18 W, 0x0000000000000004
1, 28, 210 MHz, 14.48 W, 0x0000000000000001
0, 65, 2340 MHz, 450.03 W, 0x0000000000000004
1, 28, 210 MHz, 14.48 W, 0x0000000000000001
0, 65, 2325 MHz, 450.17 W, 0x0000000000000004
1, 28, 210 MHz, 14.82 W, 0x0000000000000001
0, 65, 2340 MHz, 452.52 W, 0x0000000000000004
1, 28, 210 MHz, 14.88 W, 0x0000000000000001
0, 65, 2310 MHz, 452.20 W, 0x0000000000000004
1, 28, 210 MHz, 14.88 W, 0x0000000000000001
0, 65, 2325 MHz, 451.48 W, 0x0000000000000004
1, 28, 210 MHz, 14.78 W, 0x0000000000000001
0, 66, 2310 MHz, 451.26 W, 0x0000000000000004
1, 28, 210 MHz, 14.95 W, 0x0000000000000001
0, 63, 2790 MHz, 450.95 W, 0x0000000000000004
1, 28, 210 MHz, 14.76 W, 0x0000000000000001
